seq,from_node,to_node,edge_type,edge_id,from_floor,to_floor,same_floor,from_x,from_y,to_x,to_y
1,N5,N19,stair,E25,1,2,False,142.0,69.0,1456.0,528.0
2,N19,N20,walk,E20,2,2,True,1456.0,528.0,1014.0,523.0
3,N20,N21,walk,E21,2,2,True,1014.0,523.0,662.0,525.0
4,N21,N16,walk,E24,2,2,True,662.0,525.0,575.0,227.0
5,N16,N15,walk,E15,2,2,True,575.0,227.0,145.0,224.0
6,N15,N14,walk,E23,2,2,True,145.0,224.0,196.0,536.0
7,N14,N12,stair,E26,2,1,False,196.0,536.0,1094.0,92.0
8,N12,N13,walk,E12,1,1,True,1094.0,92.0,716.0,100.0
9,N13,N8,walk,E13,1,1,True,716.0,100.0,715.0,389.0
10,N8,N7,walk,E7,1,1,True,715.0,389.0,489.0,393.0
11,N7,N6,walk,E6,1,1,True,489.0,393.0,43.0,384.0
12,N6,N5,walk,E5,1,1,True,43.0,384.0,142.0,69.0
