seq,from_node,to_node,edge_type,edge_id,from_floor,to_floor,same_floor,from_x,from_y,to_x,to_y
1,N18,N19,walk,E23,2,2,True,1201.0,125.0,1210.0,359.0
2,N19,N11,stair,E24,2,1,False,1210.0,359.0,1234.0,359.0
3,N11,N12,walk,E12,1,1,True,1234.0,359.0,1226.0,416.0
4,N12,N11,walk,E12,1,1,True,1226.0,416.0,1234.0,359.0
5,N11,N19,stair,E24,1,2,False,1234.0,359.0,1210.0,359.0
6,N19,N18,walk,E23,2,2,True,1210.0,359.0,1201.0,125.0
7,N18,N17,walk,E22,2,2,True,1201.0,125.0,855.0,126.0
8,N17,N16,walk,E21,2,2,True,855.0,126.0,537.0,124.0
9,N16,N15,stair,E55,2,2,True,537.0,124.0,381.0,196.0
10,N15,N14,stair,E18,2,2,True,381.0,196.0,362.0,414.0
11,N14,N15,stair,E18,2,2,True,362.0,414.0,381.0,196.0
12,N15,N16,stair,E55,2,2,True,381.0,196.0,537.0,124.0
13,N16,N17,walk,E21,2,2,True,537.0,124.0,855.0,126.0
14,N17,N18,walk,E22,2,2,True,855.0,126.0,1201.0,125.0
