edge_id,from_node_id,to_node_id,edge_type,length
E1,N2,N1,walk,83.00
E2,N1,N3,walk,232.01
E3,N6,N4,walk,364.02
E4,N5,N8,walk,155.00
E5,N8,N7,walk,161.00
E6,N4,N1,stair,
E7,N4,N9,stair,
E8,N5,N20,elevator,
E9,N9,N10,walk,213.00
E10,N10,N11,walk,201.01
E11,N13,N11,walk,67.00
E12,N11,N12,walk,97.02
E13,N11,N14,walk,142.00
E14,N14,N15,walk,340.01
E15,N15,N16,walk,343.00
E16,N16,N17,walk,143.00
E17,N17,N18,walk,252.01
E18,N18,N20,walk,167.03
E19,N20,N19,walk,21.38
E20,N9,N21,stair,
E21,N21,N22,walk,188.00
E22,N22,N23,walk,180.00
E23,N23,N24,walk,47.01
E24,N24,N13,elevator,
E25,N23,N25,walk,128.00
E26,N25,N14,stair,
E27,N25,N26,walk,298.11
E28,N26,N28,walk,155.16
E29,N28,N29,walk,143.00
E30,N29,N16,stair,
E31,N29,N30,walk,150.03
E32,N30,N31,walk,176.00
E33,N31,N32,walk,185.53
E34,N32,N33,walk,23.02
E35,N32,N20,elevator,
E36,N33,N19,stair,
E37,N21,N34,stair,
E38,N34,N35,walk,229.01
E39,N35,N37,walk,138.01
E40,N37,N36,walk,48.01
E41,N24,N36,elevator,
E42,N37,N38,walk,131.00
E43,N38,N25,stair,
E44,N38,N39,walk,127.00
E45,N39,N40,walk,177.14
E46,N40,N26,stair,
E47,N40,N41,walk,178.10
E48,N41,N42,walk,126.00
E49,N42,N43,walk,126.04
E50,N42,N29,stair,
E51,N43,N44,walk,185.00
E52,N44,N45,walk,185.22
E53,N44,N46,walk,185.53
E54,N45,N32,elevator,42.30
E55,N46,N33,stair,
E56,N31,N33,walk,189.64
E57,N34,N47,stair,
E58,N47,N48,walk,212.01
E59,N48,N49,walk,133.00
E60,N49,N51,walk,120.00
E61,N51,N50,walk,58.03
E62,N36,N50,elevator,
E63,N51,N52,walk,162.00
E64,N52,N38,stair,
E65,N52,N53,walk,130.00
E66,N53,N54,walk,101.00
E67,N54,N55,walk,144.00
E68,N55,N40,stair,
E69,N55,N56,walk,144.00
E70,N56,N57,walk,106.00
E71,N57,N58,walk,129.02
E72,N57,N42,stair,
E73,N58,N59,walk,160.00
E74,N59,N60,walk,130.02
E75,N60,N61,walk,143.00
E76,N61,N62,walk,179.03
E77,N61,N63,walk,181.46
E78,N45,N62,elevator,
E79,N46,N63,stair,207.42
E80,N64,N65,walk,132.03
E81,N65,N66,walk,102.00
E82,N66,N67,walk,143.06
E83,N55,N67,stair,
E84,N67,N68,walk,147.22
E85,N68,N69,walk,101.04
E86,N69,N70,walk,133.06
E87,N58,N70,stair,
E88,N64,N52,stair,
