node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,-1,517,507,B207,
N2,corridor,-1,434,507,B210,
N3,corridor,-1,749,505,B201;B202,
N4,stair,0,298,440,B106;B107;B104;B105,1
N5,elevator,0,725,386,D101;B121;B122,
N6,corridor,0,294,76,B101;B102;B103,1
N7,corridor,0,725,70,B110;B111;B112;B113;B114;B116,
N8,corridor,0,726,231,B115;B118;B119;B117;B120,1
N9,stair,1,206,528,176;174;172;169;167,
N10,corridor,1,205,315,170-1;170;165,
N11,corner,1,207,114,164;166;163-2;163162-1;161-1,1
N12,corridor,1,205,17,162;161,
N13,elevator,1,140,114,,
N14,stair,1,349,114,103;128;129;127;126-1,1
N15,corner,1,689,111,126;125;125-1;124;123;122;121;102-1;101;103;103;105,1
N16,stair,1,1032,112,104-1;106;107;108,1
N17,corner,1,1175,112,142-2;142-1;143-1;143-2;146,1
N18,corridor,1,1177,364,145;147;148,
N19,stair,1,1159,535,,
N20,elevator,1,1180,531,149;150;D201;D202;D203;D204;D205;D206;D207,
N21,stair,2,188,547,282;280;278;276;275;277,
N22,corridor,2,187,359,274;272;273;269;267;266,
N23,corner,2,188,179,268;270;265;260;261;261-1;262;262-1;263,
N24,elevator,2,141,180,,
N25,stair,2,316,180,233;232;231;229,
N26,stair,2,614,172,224;225;223;222;221;201;202;203;204;205,
N28,corridor,2,769,179,206;207;208;209,
N29,stair,2,912,178,210;211;212;213;215,
N30,corner,2,1062,181,241;246;244-1;244-2;244,
N31,corridor,2,1063,357,245;250;250-1;250-2;250-3,
N32,elevator,2,1049,542,245-1;250-4;250-5;254;D301;D302;D303;D304;D305,
N33,stair,2,1026,543,,
N34,stair,3,133,550,384;382;371;380-1;369,
N35,corridor,3,131,321,380;378;376;374;367,
N36,elevator,3,85,182,,
N37,corner,3,133,183,372;365361;361-1;363;362;364;366;368,
N38,stair,3,264,182,331;332;329,
N39,corridor,3,391,182,330;328;326;323;325;327,
N40,stair,3,568,175,324;322;321;320;301-2;301;303;302;304;305,
N41,corridor,3,746,181,306;307;310;309;312;311,
N42,stair,3,872,180,314;313;315,
N43,corner,3,998,177,340;342;341;343;344;344-1;345-1;346;345;347,
N44,corridor,3,998,362,348;349;350;351;352;353;354;355;356;357,
N45,elevator,3,1007,547,358;359;D401;D402;D403,
N46,stair,3,984,547,,
N47,stair,4,91,690,480;478;478-1;471-3;471-4,
N48,corridor,4,89,478,474;476;476-1;469;471-1;471-2,
N49,corridor,4,90,345,470;472;465-1;467,
N50,elevator,4,31,223,,
N51,corner,4,89,225,468;465-2;464;462;461;461-1;461-2;463,
N52,stair,4,251,226,438;433;432;431,
N53,corridor,4,381,225,430;428;429;427,
N54,corridor,4,482,225,426;424;425;423,
N55,stair,4,626,225,422;421;401-1;401;402;403,
N56,corridor,4,770,225,404;405;406;407,
N57,corridor,4,876,224,408;409;410;411,
N58,stair,4,1005,226,412;413;415,
N59,corner,4,1165,226,445;442;441;440;443;444;446;447;449,
N60,corridor,4,1167,356,448;450;451;452;459-1;453,
N61,corridor,4,1167,499,454;455;456;457,
N62,elevator,4,1170,678,458;459,
N63,stair,4,1144,679,,
N64,stair,5,252,227,534;532;531,
N65,corridor,5,384,224,530;528;529;527,
N66,corridor,5,486,223,526;525;524;523,
N67,stair,5,629,227,522;521;501;503;502;505,
N68,corridor,5,776,219,504;506;507;509,
N69,corridor,5,877,222,508;510;513;511,
N70,stair,5,1010,226,512;515,
