edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,177.49
E2,N2,N3,walk,182.00
E3,N3,N4,walk,381.02
E4,N5,N1,stair,
E5,N5,N6,walk,330.19
E6,N6,N7,walk,446.09
E7,N7,N8,walk,226.04
E8,N8,N9,walk,264.00
E9,N9,N10,walk,222.02
E10,N10,N11,walk,294.06
E11,N11,N12,walk,101.24
E12,N12,N13,walk,378.08
E13,N13,N8,walk,289.00
E14,N13,N5,walk,574.84
E15,N15,N16,walk,430.01
E16,N16,N17,walk,434.06
E17,N17,N18,walk,510.01
E18,N18,N19,walk,303.61
E19,N17,N20,walk,289.04
E20,N20,N19,walk,442.03
E21,N20,N21,walk,352.01
E22,N21,N14,walk,466.13
E23,N14,N15,walk,316.14
E24,N16,N21,walk,310.44
E25,N5,N19,stair,
E26,N14,N12,stair,
