node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,179,90,B101;B102;B103,
N2,corridor,0,353,125,B104,
N3,corner,0,535,126,B105;B111,
N4,corner,0,539,507,B106;B107;B108;B109;B110,
N5,stair,1,142,69,123;124,1
N6,corner,1,43,384,101;102;121;103,1
N7,corridor,1,489,393,120;104;105,
N8,corner,1,715,389,119;106;107,
N9,corridor,1,979,390,118;108;109,
N10,corner,1,1201,393,117;110;116;111;112;113,
N11,corner,1,1195,99,114;115,
N12,stair,1,1094,92,129;128;127,
N13,corner,1,716,100,125;126;128,
N14,stair,2,196,536,201;216,
N15,corner,2,145,224,217;218,
N16,corridor,2,575,227,219;220;221,
N17,corner,2,1009,234,222;223,
N18,corner,2,1519,231,224;225;226,
N19,stair,2,1456,528,210;209;211;212,
N20,corner,2,1014,523,213;214;205,
N21,corridor,2,662,525,215;203;204,
