edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N4,walk,106.96
E2,N4,N5,walk,166.03
E3,N5,N7,walk,129.39
E4,N7,N6,walk,128.02
E5,N6,N2,walk,77.79
E6,N6,N8,walk,175.03
E7,N8,N3,walk,81.61
E8,N1,N9,stair,
E9,N3,N10,stair,
E10,N11,N9,walk,60.88
E11,N9,N12,walk,88.60
E12,N11,N12,walk,127.58
E13,N12,N13,walk,248.29
E14,N13,N14,walk,152.00
E15,N14,N15,walk,127.14
E16,N10,N15,walk,98.09
E17,N16,N10,walk,204.71
E18,N9,N17,stair,
E19,N10,N18,stair,
E20,N17,N19,walk,87.37
E21,N17,N20,walk,66.60
E22,N19,N20,walk,123.07
E23,N20,N21,walk,132.00
E24,N21,N22,walk,235.00
E25,N22,N23,walk,176.41
E26,N18,N23,walk,71.59
E27,N23,N24,walk,175.56
E28,N25,N24,walk,130.03
E29,N17,N26,stair,
E30,N18,N27,stair,
E32,N26,N29,walk,62.18
E33,N28,N29,walk,110.32
E34,N29,N30,walk,184.88
E35,N30,N31,walk,186.01
E36,N31,N32,walk,156.39
E37,N32,N27,walk,72.01
E38,N32,N33,walk,176.64
E39,N33,N35,walk,136.01
E40,N36,N38,walk,88.05
E41,N38,N39,walk,185.17
E42,N39,N40,walk,214.00
E43,N40,N41,walk,165.00
E44,N41,N37,walk,98.02
E45,N26,N36,stair,
E46,N27,N37,stair,
