node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,84,107,,
N2,stair,0,469,23,,
N3,stair,0,665,120,,
N4,corridor,0,109,211,B121;B120;B119,
N5,corner,0,275,208,,
N6,corridor,0,413,77,B101;B102,
N7,corner,0,285,79,,
N8,corner,0,587,96,B104,
N9,stair,1,124,318,,
N10,stair,1,587,319,,
N11,corridor,1,79,277,106;121,1
N12,corner,1,99,403,105,1
N13,corridor,1,347,415,108;104;103;109,
N14,corridor,1,499,415,110;102,
N15,corner,1,626,409,101;100,1
N16,corridor,1,635,120,116;117;118;111;115;114;113;112,1
N17,stair,2,125,337,,
N18,stair,2,591,339,,
N19,corridor,2,77,264,210;209;229,
N20,corner,2,81,387,208;207;206;205,
N21,corridor,2,210,415,205-1;204;212,
N22,corridor,2,445,416,213;214;203;202,
N23,corner,2,621,404,201;216;217;218,
N24,corridor,2,635,229,228;227;219;220,
N25,corridor,2,638,99,224;225;226;223;222;221,
N26,stair,3,128,357,,
N27,stair,3,592,357,,
N28,corridor,3,82,303,308-2;308-1;326;308,
N29,corner,3,99,412,307;306;305,
N30,corridor,3,283,430,310;304;303,
N31,corridor,3,469,432,311;302,
N32,corner,3,625,421,301;313;314;315,
N33,corridor,3,640,245,324;325;317;316,
N35,corridor,3,638,109,321;32;323;320;319;318,
N36,stair,4,82,77,,
N37,stair,4,651,73,,
N38,corner,4,85,165,405,
N39,corridor,4,270,173,404-1;404-2;403-1;407,
N40,corridor,4,484,172,408;403;402;401-1,
N41,corner,4,649,171,401,
