edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,178.08
E2,N2,N3,walk,376.63
E3,N6,N5,walk,131.24
E4,N5,N4,walk,120.02
E5,N5,N7,walk,443.09
E6,N7,N8,walk,397.01
E7,N8,N9,walk,299.00
E8,N4,N1,stair,
E9,N10,N11,walk,128.72
E10,N11,N12,walk,250.39
E11,N11,N13,walk,382.01
E12,N13,N14,walk,479.00
E13,N14,N15,walk,285.34
E14,N15,N9,stair,
E15,N4,N10,stair,
E16,N16,N17,walk,104.94
E17,N17,N18,walk,259.93
E18,N17,N19,walk,260.00
E19,N19,N20,walk,271.00
E20,N20,N21,walk,218.02
E21,N21,N22,walk,253.03
E22,N22,N23,walk,149.12
E23,N10,N16,stair,
E24,N15,N23,stair,
E25,N24,N25,walk,110.49
E26,N25,N26,walk,258.12
E27,N26,N27,walk,189.01
E28,N27,N28,walk,223.00
E29,N28,N29,walk,210.00
E30,N29,N30,walk,176.78
E31,N30,N23,stair,
E32,N24,N16,stair,
