node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,237,838,B106,
N2,corridor,0,270,663,B101,
N3,corridor,0,645,698,B105;B104;B103;B107,
N4,stair,1,154,570,,
N5,corner,1,156,450,108;107,
N6,corridor,1,25,442,,
N7,corridor,1,599,459,106;101;102-1,
N8,corridor,1,996,461,105;102-2;103,
N9,stair,1,1295,461,104,1
N10,stair,2,179,584,,
N11,corner,2,158,457,217;211;201;216,
N12,corridor,2,144,207,214;213;215;212,
N13,corridor,2,540,459,210;209;202;203,
N14,corridor,2,1019,458,204;207;208,
N15,stair,2,1304,472,206;205,
N16,stair,3,151,558,,
N17,corner,3,165,454,324;301;316;323,
N18,corridor,3,143,195,322;317;321;318;320;319,
N19,corridor,3,425,454,315;314;302,
N20,corridor,3,696,453,313;312,
N21,corridor,3,914,450,311;310;303;304,
N22,corridor,3,1167,446,305;308;309,
N23,stair,3,1316,452,307;306,
N24,stair,4,187,521,,
N25,corner,4,234,421,418;401,
N26,corridor,4,492,429,417;416;402;403,
N27,corridor,4,681,431,416;415;404;405,
N28,corridor,4,904,432,413;412;406;407,
N29,corridor,4,1114,432,411;410;409;408,
N30,stair,4,1289,457,,
