edge_id,from_node_id,to_node_id,edge_type,length
E1,N2,N3,walk,88.53
E2,N3,N4,walk,120.42
E3,N4,N5,walk,203.98
E4,N5,N6,walk,152.08
E5,N1,N5,walk,190.82
E6,N1,N3,walk,120.83
E7,N1,N4,walk,202.24
E8,N2,N5,walk,267.32
E9,N2,N4,walk,206.29
E10,N6,N7,walk,121.00
E11,N9,N2,elevator,
E12,N1,N8,stair,
E13,N8,N10,walk,158.40
E14,N9,N10,walk,145.72
E15,N10,N11,walk,155.43
E16,N8,N11,walk,158.03
E17,N9,N11,walk,206.81
E18,N11,N12,walk,196.00
E19,N8,N14,stair,
E20,N9,N13,elevator,
E21,N14,N15,walk,77.62
E22,N13,N15,walk,77.13
E23,N15,N16,walk,117.07
E24,N16,N17,walk,66.07
E25,N17,N18,walk,86.83
E26,N14,N20,stair,
E27,N13,N19,elevator,
E28,N20,N21,walk,119.21
E29,N21,N19,walk,107.80
E30,N19,N22,walk,88.55
E31,N20,N22,walk,56.04
E32,N22,N23,walk,110.02
E33,N19,N24,elevator,
E34,N20,N25,stair,
E35,N25,N26,walk,113.28
E36,N24,N26,walk,115.31
E37,N24,N28,walk,68.12
E38,N25,N28,walk,79.62
E39,N28,N27,walk,87.21
E40,N27,N33,walk,75.43
E41,N27,N31,walk,49.04
E42,N31,N30,walk,44.10
E43,N30,N29,walk,98.01
E44,N30,N32,walk,87.01
