node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,1,69,344,,
N2,elevator,1,41,429,,
N3,corner,1,127,450,100;101,
N4,corner,1,247,440,103;102,
N5,corridor,1,227,237,109;104;105,
N6,corner,1,222,85,106,
N7,corridor,1,343,85,108;107,
N8,stair,2,58,367,,
N9,elevator,2,41,435,,
N10,corner,2,184,463,201;204,
N11,corridor,2,205,309,211;206;205;207,
N12,corridor,2,204,113,210;208;209,
N13,elevator,3,40,421,,1
N14,stair,3,54,355,,1
N15,corner,3,115,403,,
N16,corner,3,119,286,,
N17,corner,3,185,283,301,1
N18,corridor,3,197,197,309;305;302;303;304,
N19,elevator,4,363,427,,
N20,stair,4,396,355,,
N21,corridor,4,277,362,405;404,
N22,corridor,4,442,387,403;402,
N23,corridor,4,444,277,401,
N24,elevator,5,371,425,,
N25,stair,5,405,349,,
N26,corridor,5,292,341,508;507,
N27,corner,5,445,334,,
N28,corner,5,439,421,,
N29,corridor,5,536,452,506;505;501,
N30,corner,5,535,354,502;503-3;503-4,
N31,corridor,5,491,351,503-1;503-2,
N32,corridor,5,622,353,503-5;503-6;503-7;503-8;503-9,
N33,corridor,5,437,259,504,
