edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,738.00
E2,N3,N2,walk,356.86
E3,N2,N4,walk,729.76
E4,N5,N6,walk,225.01
E5,N6,N7,walk,192.04
E6,N7,N8,walk,67.03
E7,N6,N9,walk,357.05
E8,N9,N10,walk,117.15
E9,N9,N11,walk,180.04
E10,N9,N12,walk,114.69
E11,N9,N13,walk,418.57
E12,N9,N14,walk,319.29
E13,N3,N12,stair,
E14,N1,N13,stair,
E15,N16,N15,elevator,
E16,N16,N17,walk,120.55
E17,N17,N18,walk,367.35
E18,N17,N19,walk,258.38
E19,N20,N19,walk,376.00
E20,N20,N18,walk,274.05
E21,N21,N17,walk,132.10
E22,N22,N18,walk,155.66
E23,N21,N13,stair,
E24,N22,N12,stair,
E25,N23,N27,walk,97.02
E26,N27,N25,walk,105.80
E27,N25,N24,walk,100.12
E28,N24,N26,walk,266.01
E29,N27,N28,walk,433.01
E30,N28,N29,walk,91.98
E31,N29,N30,walk,73.25
E32,N30,N31,walk,223.06
E33,N21,N25,stair,
E34,N22,N29,stair,
E35,N23,N16,elevator,
E36,N32,N33,walk,150.00
E37,N33,N34,walk,91.20
E38,N34,N35,walk,175.01
E39,N36,N34,walk,110.00
E40,N36,N37,walk,333.01
E41,N37,N38,walk,116.00
E42,N38,N39,walk,110.11
E43,N39,N40,walk,104.39
E44,N39,N41,walk,319.04
E45,N29,N40,stair,
E46,N33,N25,stair,
E47,N32,N23,elevator,
E48,N42,N43,walk,218.59
E49,N43,N44,walk,123.15
E50,N44,N45,walk,273.01
E51,N44,N46,walk,360.00
E52,N46,N47,walk,112.75
E53,N47,N48,walk,141.09
E54,N40,N48,stair,
E55,N33,N43,stair,
E56,N32,N42,elevator,
