node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,-1,100,625,,
N2,corridor,-1,838,623,B202;B201-1,
N3,stair,-1,527,798,,
N4,stair,-1,1550,783,B202-1,
N5,corridor,0,342,367,,1
N6,corner,0,567,369,B109,
N7,corridor,0,563,177,B102;B104-1,
N8,corridor,0,565,110,B103-1;B103;B103-2,
N9,corridor,0,924,363,B104-7;B104-8,
N10,corridor,0,1041,357,B107;B107-1,
N11,corridor,0,928,183,B104-2;B104-3;B104;B104-5;B104-6;B104-1,
N12,stair,0,1001,448,,
N13,stair,0,515,452,,
N14,corridor,0,752,632,B101B;B101-6;B101-4;B101-1;B101-2;B101-3;B101A;B101;B106,
N15,elevator,0,521,262,,
N16,elevator,1,517,274,102;102-3;102-4;102-5;102-2;102-1;103,
N17,corner,1,559,387,105,
N18,corridor,1,926,371,103;106,
N19,corridor,1,545,645,101,
N20,corridor,1,921,645,104,
N21,stair,1,444,452,,
N22,stair,1,1053,461,,
N23,elevator,2,523,50,,
N24,corner,2,522,309,,
N25,stair,2,458,232,,
N26,corridor,2,256,307,201-1;201-2;201,
N27,corner,2,521,147,202,
N28,corner,2,954,144,203,
N29,stair,2,973,234,,
N30,corner,2,967,307,,
N31,corridor,2,1190,312,204-1;204-5;204-4;204-3;204-2;204,
N32,elevator,3,519,76,,
N33,stair,3,520,226,311;301,
N34,corner,3,514,317,,
N35,corridor,3,339,319,315,
N36,corner,3,514,427,310;309;308,
N37,corridor,3,847,430,307;306;305,
N38,corner,3,963,429,303;304;302,
N39,corridor,3,968,319,301,
N40,stair,3,959,215,313;301,
N41,corridor,3,1287,324,320;319;318;317;316,
N42,elevator,4,538,83,401-3,
N43,stair,4,522,301,411,
N44,corner,4,516,424,404,
N45,corridor,4,243,426,402-1;402;402-2;403,
N46,corridor,4,876,425,401;405,
N47,corridor,4,988,438,406;408;409,
N48,stair,4,983,297,412,
