edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,67.23
E2,N2,N3,walk,104.24
E3,N3,N4,walk,99.18
E4,N4,N5,walk,176.07
E5,N5,N6,walk,174.00
E6,N1,N7,stair,
E7,N7,N8,walk,79.40
E8,N8,N10,walk,61.07
E9,N8,N9,walk,69.34
E10,N10,N12,walk,201.01
E11,N12,N13,walk,127.02
E12,N11,N13,walk,60.21
E13,N11,N12,walk,108.78
E14,N13,N15,walk,88.51
E15,N13,N14,walk,126.66
E16,N14,N15,walk,146.05
E17,N11,N16,elevator,
E18,N7,N17,stair,
E19,N17,N18,walk,69.86
E20,N18,N21,walk,216.04
E21,N21,N19,walk,211.00
E22,N16,N19,walk,53.15
E23,N19,N20,walk,72.01
