node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,713,245,,
N2,corridor,0,679,303,B108,
N3,corner,0,672,199,,
N4,corridor,0,573,193,B103;B107,
N5,corridor,0,397,198,B102;B105;B106,
N6,corridor,0,223,197,B101;B104,
N7,stair,1,714,277,,
N8,corner,1,673,209,,1
N9,corridor,1,635,151,108,
N10,corridor,1,612,206,106,
N11,elevator,1,316,257,,
N12,corridor,1,411,204,105;107,
N13,corner,1,284,206,,
N14,corridor,1,205,107,101,
N15,corridor,1,209,253,102;103;104,
N16,elevator,2,289,237,,
N17,stair,2,697,261,,
N18,corner,2,681,193,,
N19,corridor,2,254,197,203;204,
N20,corridor,2,182,196,201;202,
N21,corridor,2,465,197,205;206,
