edge_id,from_node_id,to_node_id,edge_type,length
E1,N3,N9,walk,37.34
E2,N2,N9,walk,60.03
E3,N1,N9,walk,73.55
E4,N1,N8,walk,71.11
E5,N2,N8,walk,74.33
E6,N3,N8,walk,81.39
E7,N8,N7,walk,133.09
E8,N7,N6,walk,120.00
E9,N6,N5,walk,126.00
E10,N4,N5,walk,44.41
E11,N4,N10,stair,
E12,N3,N11,stair,
E13,N2,N13,elevator,
E14,N1,N12,elevator,
E15,N10,N16,walk,34.01
E16,N16,N17,walk,67.74
E17,N17,N15,walk,102.08
E18,N17,N18,walk,98.99
E19,N18,N19,walk,224.02
E20,N19,N20,walk,68.25
E21,N20,N11,walk,36.69
E22,N13,N19,walk,84.06
E23,N12,N19,walk,74.04
E24,N13,N20,walk,62.03
E25,N12,N20,walk,74.03
E26,N20,N21,walk,80.41
E27,N21,N22,walk,84.01
E29,N22,N23,walk,78.10
E30,N23,N14,walk,35.90
E31,N12,N27,elevator,
E32,N13,N28,elevator,
E33,N11,N25,stair,
E34,N10,N24,stair,
E35,N14,N26,stair,
E36,N24,N31,walk,52.47
E37,N31,N30,walk,55.58
E38,N30,N29,walk,96.08
E39,N30,N32,walk,113.28
E40,N32,N33,walk,246.01
E41,N33,N27,walk,70.21
E42,N33,N28,walk,68.12
E43,N33,N25,walk,71.59
E44,N33,N34,walk,83.00
E45,N34,N35,walk,88.02
E46,N35,N36,walk,92.00
E47,N36,N26,walk,49.16
E48,N27,N40,elevator,
E49,N28,N41,elevator,
E50,N24,N37,stair,
E51,N25,N39,stair,
E52,N26,N38,stair,
E53,N37,N42,walk,42.58
E54,N42,N43,walk,75.00
E55,N43,N44,walk,140.01
E56,N44,N45,walk,196.12
E57,N45,N40,walk,67.74
E58,N41,N45,walk,70.34
E59,N45,N39,walk,66.48
E60,N45,N46,walk,96.13
E61,N46,N47,walk,77.01
E62,N47,N48,walk,109.00
E63,N48,N38,walk,43.19
E64,N37,N49,stair,
E65,N38,N50,stair,
E66,N39,N51,stair,
E67,N41,N53,elevator,
E68,N40,N52,elevator,
E69,N49,N54,walk,44.72
E70,N54,N55,walk,140.03
E71,N55,N56,walk,218.00
E72,N56,N57,walk,102.08
E73,N51,N57,walk,48.17
E74,N53,N57,walk,77.83
E75,N52,N57,walk,88.73
E76,N52,N56,walk,84.91
E77,N53,N56,walk,98.41
E78,N51,N56,walk,110.94
E79,N57,N59,walk,114.11
E80,N59,N60,walk,104.00
E81,N60,N50,walk,43.46
E82,N49,N61,stair,
E83,N50,N62,stair,
E84,N51,N63,stair,
E85,N52,N64,elevator,
E86,N53,N65,elevator,
E88,N69,N70,walk,66.03
E89,N70,N71,walk,166.00
E90,N71,N72,walk,137.09
E91,N72,N73,walk,111.07
E92,N73,N74,walk,106.00
E93,N64,N72,walk,84.00
E94,N65,N72,walk,89.02
E95,N63,N72,walk,79.40
E97,N74,N75,walk,69.07
E98,N75,N62,walk,47.38
E99,N61,N76,walk,47.01
E100,N76,N69,walk,42.05
E101,N63,N73,walk,87.05
E102,N65,N73,walk,125.87
E103,N64,N73,walk,141.65
E104,N61,N77,stair,
E105,N62,N79,stair,
E106,N63,N78,stair,
E107,N80,N64,elevator,
E108,N65,N81,elevator,
E109,N77,N82,walk,46.53
E110,N82,N83,walk,144.03
E111,N83,N84,walk,140.00
E112,N84,N85,walk,163.31
E113,N85,N78,walk,56.86
E114,N81,N85,walk,78.41
E115,N85,N80,walk,84.69
E116,N85,N86,walk,107.30
E117,N86,N87,walk,92.01
E118,N87,N88,walk,53.01
E119,N88,N79,walk,45.54
E120,N77,N89,stair,
E121,N78,N90,stair,
E122,N79,N91,stair,
E123,N80,N92,elevator,
E124,N81,N93,elevator,
E125,N89,N94,walk,51.20
E126,N94,N95,walk,102.00
E127,N95,N96,walk,200.00
E128,N96,N97,walk,136.37
E129,N97,N90,walk,60.41
E130,N97,N93,walk,89.27
E131,N97,N92,walk,91.18
E132,N97,N98,walk,127.25
E133,N98,N99,walk,131.00
E134,N99,N91,walk,49.01
E135,N89,N100,stair,
E136,N90,N101,stair,
E137,N91,N102,stair,
E138,N92,N103,elevator,
E139,N93,N104,elevator,
E140,N100,N105,walk,47.17
E141,N105,N106,walk,119.00
E142,N106,N107,walk,195.01
E143,N107,N108,walk,122.80
E144,N108,N101,walk,50.99
E145,N108,N104,walk,74.67
E146,N108,N103,walk,82.08
E147,N108,N109,walk,100.84
E148,N109,N110,walk,154.00
E149,N110,N102,walk,44.41
E150,N100,N111,stair,
E151,N101,N112,stair,
E152,N102,N113,stair,
E153,N103,N114,elevator,
E154,N104,N115,elevator,
E156,N111,N116,walk,48.70
E157,N116,N117,walk,94.02
E158,N117,N118,walk,135.00
E159,N118,N119,walk,176.01
E160,N119,N114,walk,86.47
E161,N119,N115,walk,86.83
E162,N119,N112,walk,74.89
E163,N119,N120,walk,108.02
E164,N120,N121,walk,92.00
E165,N121,N122,walk,72.01
E166,N122,N113,walk,48.66
E167,N111,N123,stair,
E168,N112,N124,stair,
E169,N113,N125,stair,
E170,N114,N126,elevator,
E171,N115,N127,elevator,
E172,N123,N128,walk,53.00
E173,N128,N129,walk,67.01
E174,N129,N130,walk,156.01
E175,N130,N131,walk,174.18
E176,N131,N132,walk,118.42
E177,N132,N133,walk,88.02
E178,N133,N134,walk,62.03
E179,N134,N125,walk,53.15
E180,N131,N124,walk,63.60
E181,N131,N127,walk,75.17
E182,N131,N126,walk,77.88
