node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,elevator,-1,435,60,,
N2,elevator,-1,456,61,,
N3,stair,-1,491,76,,
N4,stair,-1,26,99,,
N5,corridor,-1,52,135,B205;B204,
N6,corridor,-1,178,136,B203,
N7,corridor,-1,298,136,B202,
N8,corner,-1,431,131,B201,
N9,corner,-1,486,113,B221;B207;B219,
N10,stair,0,21,301,,
N11,stair,0,487,288,,
N12,elevator,0,430,265,,
N13,elevator,0,454,265,,
N14,stair,0,725,298,,
N15,corridor,0,83,223,B114;B115,
N16,corner,0,20,335,B111,
N17,corner,0,87,325,B112;B113,
N18,corridor,0,185,339,B110;B109,
N19,corridor,0,409,336,B108;B107,
N20,corner,0,476,323,B106,
N21,corridor,0,555,338,B101;B102;B105,
N22,corridor,0,639,337,B103;B104,
N23,corner,0,717,333,,
N24,stair,1,23,255,,1
N25,stair,1,478,246,,
N26,stair,1,711,258,,1
N27,elevator,1,423,242,,
N28,elevator,1,448,241,,
N29,corridor,1,89,203,112,
N30,corner,1,85,299,110;111;108,
N31,corner,1,30,307,109,1
N32,corridor,1,198,307,107;106,1
N33,corner,1,444,309,,1
N34,corridor,1,527,309,105;104;101,
N35,corridor,1,615,307,102;103,1
N36,corner,1,707,307,,
N37,stair,2,25,92,,
N38,stair,2,729,92,,
N39,stair,2,491,83,,
N40,elevator,2,433,62,,
N41,elevator,2,461,61,,
N42,corner,2,32,134,209,
N43,corridor,2,107,134,210;208,
N44,corridor,2,247,136,207;206,
N45,corner,2,443,129,205;204,
N46,corridor,2,539,134,201,
N47,corridor,2,616,135,202,
N48,corner,2,725,135,203,
N49,stair,3,17,95,,
N50,stair,3,720,97,,
N51,stair,3,481,83,,
N52,elevator,3,428,63,,
N53,elevator,3,449,62,,
N54,corner,3,25,139,311;312,
N55,corridor,3,165,136,310;309,
N56,corridor,3,383,135,308;307,
N57,corner,3,485,131,306;305;301,
N59,corridor,3,599,136,302;304,
N60,corner,3,703,137,303,
N61,stair,4,18,116,,
N62,stair,4,720,116,,
N63,stair,4,480,103,,
N64,elevator,4,428,79,,
N65,elevator,4,451,77,,
N69,corner,4,59,165,411,
N70,corridor,4,125,167,409;408,
N71,corridor,4,291,168,407;406,
N72,corner,4,428,163,405,
N73,corridor,4,539,167,401;404,
N74,corridor,4,645,166,402;402-1,
N75,corner,4,714,163,403,
N76,corner,4,17,163,410,
N77,stair,5,26,115,,
N78,stair,5,489,103,,
N79,stair,5,725,116,,
N80,elevator,5,433,77,,
N81,elevator,5,458,77,,
N82,corner,5,19,161,512,
N83,corridor,5,163,164,513;511,
N84,corridor,5,303,165,510;509;508,
N85,corner,5,466,155,507;506;505,
N86,corridor,5,573,163,501;504,
N87,corridor,5,665,162,502;503,
N88,corner,5,718,161,503-1,
N89,stair,6,16,115,,
N90,stair,6,485,97,,
N91,stair,6,724,112,,
N92,elevator,6,432,69,,
N93,elevator,6,458,65,,
N94,corner,6,27,165,611,
N95,corridor,6,129,164,612;610;609,
N96,corridor,6,329,164,608;607,
N97,corner,6,465,154,606-2;606-1;605-1;601,
N98,corridor,6,592,162,605;602,
N99,corner,6,723,161,604,
N100,stair,7,31,117,,
N101,stair,7,493,105,,
N102,stair,7,731,119,,
N103,elevator,7,440,75,,
N104,elevator,7,461,77,,
N105,corner,7,35,164,712-2,
N106,corridor,7,154,163,713;712-1;711-2;711-1;710,
N107,corridor,7,349,165,709;708;707,
N108,corner,7,471,151,706;705-1,
N109,corridor,7,571,164,705;702,
N110,corner,7,725,163,703;704,
N111,stair,8,20,115,,
N112,stair,8,483,99,,
N113,stair,8,721,114,,
N114,elevator,8,432,75,,
N115,elevator,8,453,75,,
N116,corner,8,36,161,825;824;826,
N117,corridor,8,130,163,823;822;820,
N118,corridor,8,265,163,819;818;817;816,
N119,corner,8,441,161,815;814;813,
N120,corridor,8,549,163,812;811;810;801;802,
N121,corridor,8,641,163,803;804;809;808,
N122,corner,8,713,162,805;807;806,
N123,stair,9,28,77,,
N124,stair,9,491,64,,
N125,stair,9,725,72,,
N126,elevator,9,436,39,,
N127,elevator,9,458,40,,
N128,corner,9,56,122,927;926;928,
N129,corridor,9,123,121,929;930;925;924;923,
N130,corridor,9,279,123,922;921;920;919;918;917,
N131,corner,9,453,115,916;915;914;913,
N132,corridor,9,571,125,912;911;910;901;902;909,
N133,corridor,9,659,123,908;907;904;903,
N134,corner,9,721,125,905;906,
