edge_id,from_node_id,to_node_id,edge_type,length
E1,N3,N12,walk,88.14
E2,N12,N1,walk,150.88
E3,N1,N11,walk,42.05
E4,N11,N10,walk,72.25
E5,N10,N9,walk,110.00
E6,N9,N8,walk,62.20
E7,N8,N7,walk,51.09
E8,N7,N6,walk,90.01
E9,N6,N4,walk,36.01
E10,N6,N5,walk,78.01
E11,N4,N2,walk,80.06
E12,N1,N13,stair,
E13,N2,N14,stair,
E14,N18,N19,walk,33.24
E15,N19,N20,walk,70.03
E16,N20,N21,walk,74.03
E17,N19,N22,walk,151.00
E18,N22,N16,walk,65.19
E19,N22,N15,walk,76.01
E20,N22,N23,walk,126.81
E21,N23,N17,walk,105.08
E22,N13,N23,walk,79.56
E23,N23,N24,walk,145.00
E24,N24,N25,walk,141.00
E25,N25,N26,walk,63.00
E26,N14,N26,walk,49.01
E27,N17,N30,elevator,
E28,N13,N27,stair,
E29,N16,N29,stair,
E30,N14,N28,stair,
E31,N31,N32,walk,90.02
E32,N32,N33,walk,67.12
E33,N33,N34,walk,100.00
E34,N32,N35,walk,62.00
E35,N35,N36,walk,72.03
E36,N36,N29,walk,52.00
E37,N36,N37,walk,69.43
E38,N37,N38,walk,89.00
E39,N38,N39,walk,47.04
E40,N39,N30,walk,38.00
E41,N38,N40,walk,98.13
E42,N38,N27,walk,55.44
E43,N40,N41,walk,109.02
E44,N41,N42,walk,133.06
E45,N42,N43,walk,42.05
E46,N43,N28,walk,59.03
E47,N27,N44,stair,
E48,N28,N45,stair,
E49,N29,N46,stair,
E50,N30,N47,elevator,
E51,N48,N49,walk,115.02
E52,N49,N50,walk,78.01
E53,N50,N51,walk,88.01
E54,N49,N52,walk,92.00
E55,N52,N46,walk,61.91
E56,N52,N53,walk,158.05
E57,N53,N54,walk,44.05
E58,N54,N47,walk,44.05
E59,N53,N55,walk,94.02
E60,N53,N44,walk,59.20
E61,N55,N56,walk,95.00
E62,N56,N57,walk,137.06
E63,N57,N58,walk,60.01
E64,N58,N45,walk,48.04
E65,N44,N59,stair,
E66,N45,N60,stair,
E67,N46,N61,stair,
E68,N47,N62,elevator,
E69,N63,N64,walk,68.03
E70,N64,N65,walk,65.03
E71,N65,N66,walk,150.03
E72,N65,N67,walk,78.00
E73,N67,N68,walk,58.24
E74,N67,N61,walk,50.33
E75,N68,N69,walk,96.01
E76,N69,N70,walk,48.04
E77,N70,N62,walk,38.01
E78,N69,N59,walk,57.49
E79,N69,N71,walk,144.01
E80,N71,N72,walk,167.01
E81,N72,N73,walk,76.00
E82,N60,N73,walk,52.15
E83,N60,N75,stair,
E84,N59,N74,stair,
E85,N62,N76,elevator,
E86,N76,N79,walk,63.13
E87,N79,N78,walk,68.07
E88,N77,N78,walk,77.16
E89,N78,N80,walk,187.02
E90,N78,N74,walk,82.33
E91,N80,N81,walk,278.02
E92,N81,N82,walk,130.03
E93,N82,N75,walk,72.03
