node_id,node_type,floor,x,y,assigned_rooms,
N1,stair,0,289,109,,
N2,stair,0,709,236,,
N3,corridor,0,75,197,B114;B115,
N4,corner,0,712,156,B106-1,
N5,corridor,0,677,77,B106-2;B107-2;B107-1,
N6,corner,0,676,155,B105-1;B105-2,
N7,corner,0,586,156,B108-2;B108-1;B104-1;B104-2,
N8,corridor,0,535,153,B109-2;B109-1;B103,
N9,corridor,0,473,158,B110-1;B110;B109-2;B109,
N10,corridor,0,363,157,B101-2;B101-1;B102-2;B102-1;B111,
N11,corner,0,291,151,,
N12,corner,0,163,192,,
N13,stair,1,385,52,109,1
N14,stair,1,713,153,,
N15,stair,1,283,185,,
N16,stair,1,319,184,,
N17,elevator,1,350,25,110,
N18,corridor,1,140,245,119;115;114,
N19,corner,1,173,249,,
N20,corridor,1,171,179,117;116,
N21,corridor,1,169,105,118-1;118,
N22,corner,1,324,249,113;100;101;102,1
N23,corridor,1,365,129,103;112;111,1
N24,corridor,1,508,105,104-1;104;108;107,
N25,corridor,1,649,104,105;106,
N26,corner,1,712,104,,
N27,stair,2,364,69,,
N28,stair,2,709,166,,
N29,stair,2,295,221,,
N30,elevator,2,331,27,,
N31,corridor,2,91,269,220;219,
N32,corner,2,181,267,218,
N33,corridor,2,185,200,250;251;252;258;259,
N34,corridor,2,185,100,254;253;255;256;257,
N35,corridor,2,243,267,217;260,
N36,corner,2,315,269,216;202;201,
N37,corridor,2,329,201,203,
N38,corner,2,329,112,214;204-1,
N39,corridor,2,331,65,213,
N40,corridor,2,427,107,212;211;204;205,
N41,corridor,2,536,105,210;206;209;207,
N42,corridor,2,669,109,207-1;209-1,
N43,corner,2,711,107,,
N44,stair,3,365,58,,
N45,stair,3,713,152,,
N46,stair,3,293,210,,
N47,elevator,3,329,17,,
N48,corridor,3,118,261,320;319;318,
N49,corner,3,233,263,317;346,
N50,corridor,3,234,185,321;322,
N51,corridor,3,235,97,323,
N52,corner,3,325,263,315;324;301;302;303,
N53,corner,3,329,105,313;304,
N54,corridor,3,331,61,312,
N55,corridor,3,423,107,311-1;311;305,
N56,corridor,3,518,107,310;305-1;306;309;307,
N57,corridor,3,655,103,308;307-1,
N58,corner,3,715,104,325,
N59,stair,4,367,73,,
N60,stair,4,713,165,,
N61,stair,4,295,222,,
N62,elevator,4,329,31,,
N63,corridor,4,102,269,421;420,
N64,corridor,4,170,271,419;422,
N65,corner,4,235,269,418;417;425,
N66,corridor,4,238,119,423;424,
N67,corner,4,313,269,416;426;401;402,
N68,corridor,4,329,213,403,
N69,corner,4,330,117,414;404-1,
N70,corridor,4,328,69,413,
N71,corridor,4,474,115,404;405;412;406;411,
N72,corridor,4,641,113,410;409;407;408,
N73,corner,4,717,113,,
N74,stair,5,153,109,,
N75,stair,5,697,247,,
N76,elevator,5,93,41,,
N77,corridor,5,95,249,510;509,
N78,corner,5,100,172,508;501,
N79,corridor,5,97,104,507,
N80,corridor,5,287,175,502;506-1;506-2;503,
N81,corridor,5,565,172,505;504,
N82,corner,5,695,175,,
