edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N4,walk,39.00
E2,N2,N4,walk,52.84
E3,N4,N5,walk,166.11
E4,N5,N6,walk,50.00
E5,N5,N7,walk,84.40
E6,N7,N8,walk,249.01
E7,N8,N9,walk,170.19
E8,N9,N10,walk,85.01
E9,N6,N11,walk,242.10
E10,N11,N3,walk,48.04
E11,N1,N12,elevator,
E12,N2,N13,stair,
E13,N3,N18,stair,
E14,N12,N20,walk,115.52
E15,N13,N21,walk,44.55
E16,N12,N21,walk,92.66
E17,N21,N22,walk,80.62
E18,N22,N23,walk,109.07
E19,N23,N24,walk,135.00
E20,N24,N18,walk,43.05
E21,N17,N25,walk,38.90
E22,N25,N26,walk,190.00
E24,N19,N14,walk,38.47
E25,N14,N20,walk,111.95
E26,N15,N20,walk,99.04
E27,N15,N19,walk,68.62
E28,N16,N20,walk,104.92
E29,N19,N27,walk,77.18
E30,N27,N26,walk,124.15
E31,N12,N28,elevator,
E32,N14,N29,elevator,
E33,N15,N30,stair,
E34,N16,N31,stair,
E35,N18,N33,stair,
E36,N17,N32,stair,
E37,N33,N38,walk,34.48
E38,N38,N37,walk,340.38
E39,N37,N36,walk,70.43
E40,N28,N36,walk,38.28
E41,N31,N36,walk,89.87
E42,N31,N35,walk,53.71
E43,N35,N28,walk,68.01
E44,N36,N35,walk,96.02
E45,N35,N34,walk,103.00
E46,N34,N30,walk,48.26
E47,N34,N29,walk,56.46
E48,N34,N41,walk,82.10
E49,N41,N29,walk,34.99
E50,N41,N30,walk,92.91
E51,N41,N40,walk,89.40
E52,N40,N39,walk,322.16
E53,N39,N32,walk,37.22
E54,N42,N28,elevator,
E55,N29,N43,elevator,
E56,N44,N32,stair,
E57,N33,N45,stair,
E58,N45,N51,walk,33.06
E59,N51,N50,walk,296.06
E60,N50,N47,walk,95.19
E61,N47,N42,walk,53.04
E62,N42,N46,walk,107.91
E63,N46,N43,walk,112.87
E64,N43,N48,walk,57.00
E65,N48,N49,walk,91.08
E66,N49,N52,walk,297.04
E67,N44,N52,walk,34.71
E68,N44,N45,walk,334.02
