node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,elevator,0,405,28,,
N2,stair,0,431,21,,
N3,stair,0,465,481,,
N4,corridor,0,405,67,B106,
N5,corner,0,411,233,B107;B106-1,
N6,corridor,0,459,247,B102;B102-1;B101,
N7,corner,0,329,253,B104;B105;B103;B103-1,
N8,corner,0,331,502,B103-2,
N9,corner,0,161,510,,
N10,corridor,0,162,425,B112;B111;B111-1;B110,
N11,corner,0,513,483,,
N12,elevator,1,352,119,,
N13,stair,1,374,163,,
N14,elevator,1,135,123,,
N15,stair,1,144,67,,
N16,stair,1,344,67,,
N17,stair,1,87,509,,
N18,stair,1,399,511,,
N19,corner,1,97,117,107,
N20,corner,1,241,87,,
N21,corner,1,405,195,,1
N22,corner,1,437,269,106,
N23,corridor,1,441,378,105;104;103;102,
N24,corner,1,442,513,101,
N25,corner,1,50,497,113;114,
N26,corridor,1,51,307,112,
N27,corner,1,57,183,,
N28,elevator,2,335,103,,
N29,elevator,2,116,101,,
N30,stair,2,163,31,,
N31,stair,2,293,31,,
N32,stair,2,55,496,,
N33,stair,2,397,494,,
N34,corridor,2,168,79,207,
N35,corridor,2,271,80,206,
N36,corner,2,367,82,,
N37,corner,2,411,137,204,
N38,corner,2,427,477,201,
N39,corner,2,23,477,212,
N40,corner,2,33,155,209,
N41,corner,2,86,83,,
N42,elevator,3,333,109,,
N43,elevator,3,114,109,,
N44,stair,3,56,499,,
N45,stair,3,390,495,,
N46,corridor,3,226,95,,
N47,corner,3,386,107,,
N48,corner,3,57,109,,
N49,corner,3,27,195,,
N50,corner,3,417,197,,
N51,corner,3,423,493,,
N52,corner,3,22,492,,
