edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,254.03
E2,N2,N3,walk,394.03
E3,N3,N4,walk,201.04
E4,N4,N5,walk,105.00
E5,N5,N6,walk,176.28
E6,N7,N8,walk,257.02
E7,N8,N9,walk,410.04
E8,N9,N10,walk,245.00
E9,N10,N11,walk,120.04
E10,N11,N12,walk,154.26
E11,N12,N6,stair,
E12,N13,N14,walk,222.00
E13,N14,N15,walk,254.02
E14,N15,N16,walk,216.01
E15,N16,N17,walk,251.16
E16,N17,N18,walk,87.00
E17,N18,N19,walk,158.26
E18,N19,N12,stair,
E19,N20,N21,walk,90.02
E20,N21,N22,walk,233.03
E21,N22,N23,walk,206.00
E22,N23,N24,walk,359.14
E23,N24,N25,walk,345.00
E24,N25,N26,walk,89.02
E25,N26,N27,walk,152.12
E26,N27,N19,stair,
E27,N28,N29,walk,121.00
E28,N29,N30,walk,227.00
E29,N30,N31,walk,218.11
E30,N31,N32,walk,242.05
E31,N32,N33,walk,210.24
E32,N33,N34,walk,237.01
E33,N34,N35,walk,101.04
E34,N35,N36,walk,148.41
E35,N36,N27,stair,
