node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,corridor,1,506,686,103,
N2,corridor,1,760,682,102,
N3,corridor,1,1154,677,101,
N4,corridor,1,1355,673,,1
N5,corner,1,1354,568,,
N6,stair,1,1530,558,,
N7,corridor,2,491,688,204,
N8,corridor,2,748,691,203,
N9,corridor,2,1158,685,202,
N10,corridor,2,1403,685,,
N11,corridor,2,1400,565,201,
N12,stair,2,1554,556,,
N13,corridor,3,479,655,305,
N14,corridor,3,701,655,304,
N15,corridor,3,955,652,303,
N16,corridor,3,1171,650,302,
N17,corridor,3,1422,641,,
N18,corridor,3,1422,554,301,
N19,stair,3,1580,545,,
N20,corridor,4,257,618,406,
N21,corner,4,259,708,,
N22,corridor,4,492,712,405,
N23,corridor,4,698,712,404,
N24,corridor,4,1057,702,403,
N25,corner,4,1402,702,,
N26,corridor,4,1400,613,401,
N27,stair,4,1552,607,,
N28,corridor,5,266,570,506,
N29,corridor,5,265,691,,
N30,corridor,5,492,690,505,
N31,corridor,5,710,683,504,
N32,corridor,5,952,678,503,
N33,corridor,5,1162,668,502,
N34,corridor,5,1399,666,,
N35,corridor,5,1402,565,501,
N36,stair,5,1550,554,,
