edge_id,from_node_id,to_node_id,edge_type,length
E1,N21,N20,walk,212.04
E2,N20,N22,walk,224.14
E3,N23,N22,walk,60.53
E4,N20,N12,walk,132.06
E5,N12,N2,walk,79.16
E6,N2,N1,walk,55.08
E7,N1,N5,walk,98.51
E8,N5,N6,walk,144
E9,N6,N7,walk,118.04
E10,N7,N8,walk,171.24
E11,N14,N16,walk,100.04
E12,N16,N15,walk,212
E13,N15,N13,walk,75.06
E14,N12,N13,walk,199
E15,N12,N3,walk,80.4
E16,N3,N4,walk,51
E17,N4,N10,walk,136.62
E18,N11,N10,walk,63.13
E19,N13,N17,walk,81.01
E20,N17,N18,walk,188
E21,N10,N18,walk,196
E22,N18,N19,walk,211
E23,N35,N34,walk,275
E24,N34,N33,walk,116.04
E25,N33,N31,walk,97.33
E26,N32,N31,walk,225.02
E27,N31,N25,walk,106.08
E28,N25,N26,walk,62
E29,N26,N40,walk,83.29
E30,N40,N27,walk,81
E31,N27,N28,walk,65.03
E32,N28,N39,walk,228.32
E44,N28,N44,walk,144.94
E45,N44,N36,walk,146.99
E46,N36,N37,walk,185
E47,N37,N38,walk,179
E48,N34,N36,walk,390
E49,N28,N36,walk,225.01
E50,N33,N44,walk,481
E51,N28,N34,walk,452.48
E52,N31,N36,walk,448.3
E53,N25,N1,stair,
E54,N26,N2,elevator,
E55,N27,N3,elevator,
E56,N28,N4,stair,
E57,N33,N36,walk,403.73
E58,N33,N28,walk,404.25
E59,N44,N31,walk,498.92
E60,N44,N34,walk,497.24
E61,N33,N40,walk,265.92
E62,N34,N40,walk,332.7
E63,N40,N44,walk,262.19
E64,N40,N36,walk,265.45
E65,N41,N40,walk,142
E66,N41,N42,walk,247.1
E67,N43,N42,walk,196.09
E68,N55,N54,walk,104
E69,N54,N53,walk,124.49
E70,N53,N56,walk,240.88
E71,N56,N57,walk,226.57
E72,N57,N58,walk,111.09
E73,N58,N59,walk,125.14
E74,N50,N57,walk,114.93
E75,N50,N60,walk,146.73
E76,N53,N49,walk,96.1
E77,N49,N52,walk,124.62
E78,N51,N52,walk,157.32
E79,N52,N45,walk,96.13
E80,N45,N46,walk,58.69
E81,N46,N47,walk,162.2
E82,N47,N48,walk,63.07
E83,N48,N60,walk,145.06
E84,N62,N61,walk,311.19
E85,N33,N49,stair,
E86,N50,N44,stair,
E87,N45,N25,stair,
E88,N46,N26,elevator,
E89,N47,N27,elevator,
E90,N48,N28,stair,
E91,N70,N69,walk,193.01
E92,N69,N63,walk,121.15
E93,N63,N64,walk,62.03
E94,N64,N65,walk,89
E95,N65,N67,walk,97.25
E97,N73,N67,walk,68.01
E98,N73,N71,walk,111.54
E99,N71,N72,walk,148.03
E100,N66,N65,walk,153.01
E101,N74,N75,walk,237
E102,N75,N76,walk,72.56
E103,N76,N77,walk,61.07
E104,N77,N78,walk,187.17
E105,N78,N79,walk,61.13
E106,N79,N80,walk,131.75
E107,N80,N81,walk,170
E108,N76,N63,stair,
E109,N77,N64,elevator,
E110,N78,N67,elevator,
E111,N79,N73,stair,
E112,N89,N88,walk,205.01
E113,N88,N82,walk,115.73
E114,N82,N83,walk,65.07
E115,N83,N84,walk,188.01
E116,N84,N85,walk,59.01
E117,N85,N86,walk,140.23
E118,N86,N87,walk,183.04
E119,N82,N76,stair,
E120,N83,N77,elevator,
E121,N84,N78,elevator,
E122,N85,N79,stair,
E123,N90,N91,walk,222.01
E124,N91,N92,walk,87.09
E125,N92,N93,walk,65.07
E126,N93,N94,walk,169.03
E127,N94,N95,walk,76.11
E128,N95,N96,walk,128.1
E129,N96,N97,walk,131.06
E130,N82,N92,stair,
E131,N83,N93,elevator,
E132,N94,N84,elevator,
E133,N95,N85,stair,
E134,N45,N63,stair,
E135,N46,N64,elevator,
E136,N47,N67,elevator,
E137,N48,N73,stair,
E138,N98,N99,walk,246.07
E139,N99,N100,walk,67
E140,N100,N101,walk,67.07
E141,N101,N102,walk,170
E142,N102,N103,walk,73.03
E143,N103,N104,walk,93.53
E144,N104,N105,walk,189.01
E145,N92,N100,stair,
E146,N93,N101,elevator,
E147,N94,N102,elevator,
E148,N95,N103,stair,
E149,N24,N23,walk,143
