node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,437,573,B123,
N2,elevator,0,492,576,,
N3,elevator,0,651,573,B167,
N4,stair,0,702,573,,
N5,corridor,0,339,583,B102;B101;B122,
N6,corridor,0,195,584,B103;B104;,
N7,corner,0,77,587,B105,
N8,corridor,0,86,758,B124;B125,
N10,corridor,0,838,586,B158;B166;B142,
N11,corridor,0,842,523,B158;B157,
N12,corridor,0,571,581,,
N13,corridor,0,570,780,,
N14,corridor,0,183,787,B126;B127,
N15,corridor,0,495,783,B131,
N16,corridor,0,283,784,B128;B129;B130,
N17,corridor,0,651,781,B132,
N18,corridor,0,839,782,B133;B134;B135;B136,
N19,corridor,0,1050,783,B137;B138;B139;B140,
N20,corridor,0,575,449,B169;B170;B171,
N21,corridor,0,363,445,B164;B168,
N22,corner,0,799,441,,
N23,corridor,0,807,381,B163;B160,1
N24,corridor,0,807,238,B161;B162,
N25,stair,1,462,537,,
N26,elevator,1,524,537,,
N27,elevator,1,688,530,,
N28,stair,1,753,528,,
N31,corridor,1,356,541,102,
N32,corridor,1,131,538,103,
N33,stair,1,364,638,,
N34,corridor,1,361,754,104;107;108;109,1
N35,corridor,1,86,754,105;106,
N36,corridor,1,751,753,110;111;112,1
N37,corridor,1,936,753,113;114,
N38,corridor,1,1115,752,115;116,
N39,corridor,1,981,540,116;117;118,
N40,corridor,1,607,530,,
N41,corridor,1,608,388,101,
N42,corner,1,855,381,119,
N43,corridor,1,861,185,120;120-1;121,
N44,stair,1,845,640,,
N45,stair,2,455,435,,
N46,elevator,2,513,426,,
N47,elevator,2,675,434,,
N48,stair,2,738,431,,
N49,stair,2,379,563,,
N50,stair,2,803,558,,
N51,corridor,2,202,430,226-1;226;203,
N52,corner,2,359,440,,
N53,corridor,2,359,657,213,
N54,corridor,2,235,646,204;207;211;212,
N55,corridor,2,131,645,205;206;208;209;210,
N56,corridor,2,598,687,214,
N57,corridor,2,824,671,215,
N58,corridor,2,932,645,223;216;217,
N59,corridor,2,1057,651,218;219;222;220;221,
N60,corridor,2,883,435,224;225,
N61,corridor,2,595,430,201,
N62,corridor,2,584,119,201-1;201-2;201-3;201-4,
N63,stair,3,456,220,,
N64,elevator,3,518,218,,
N65,corridor,3,607,218,307,
N66,corridor,3,609,65,325;323,
N67,elevator,3,704,211,308,
N69,corridor,3,335,226,301;306,
N70,corridor,3,142,224,302;303;304;303-1;305,
N71,corridor,3,883,223,316;309;315;310,
N72,corridor,3,1031,226,311;312;313;314,
N73,stair,3,772,212,,
N74,corridor,4,154,186,402;403,
N75,corridor,4,391,186,401;405,
N76,stair,4,463,177,406-2,
N77,elevator,4,524,174,,
N78,elevator,4,711,166,407,
N79,stair,4,772,170,,
N80,corridor,4,903,184,415;408;409;410,
N81,corridor,4,1073,183,414;411;412;413,
N82,stair,5,447,176,506,
N83,elevator,5,512,179,,
N84,elevator,5,700,177,507,
N85,stair,5,759,178,,
N86,corridor,5,899,186,516;515;508;509;510;,
N87,corridor,5,1082,182,514;511;512;513,
N88,corridor,5,332,189,501;502;505;,
N89,corridor,5,127,187,503;504,
N90,corridor,6,149,191,603;604;605-1,
N91,corridor,6,371,189,605-2;606;607;602;601,
N92,stair,6,458,185,,
N93,elevator,6,523,182,,
N94,elevator,6,692,185,608,
N95,stair,6,768,181,,
N96,corridor,6,896,186,609;610;616,
N97,corridor,6,1027,190,615;615-1;611;612;613;614,
N98,corridor,7,155,189,703;702;704,
N99,corridor,7,401,183,701;705,
N100,stair,7,468,183,706,
N101,elevator,7,535,186,,
N102,elevator,7,705,186,707,
N103,stair,7,778,184,,
N104,corridor,7,871,191,717;708;709,
N105,corridor,7,1060,189,710;711;712;713;716;715;714,
