edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N3,walk,206.65
E2,N2,N3,walk,86.05
E3,N3,N4,walk,92.02
E4,N4,N5,walk,143.03
E5,N1,N2,walk,207.87
E6,N5,N6,stair,266.27
E7,N6,N7,stair,
E8,N7,N8,walk,193
E9,N8,N9,walk,347
E10,N9,N10,walk,190.01
E11,N10,N11,walk,238.03
E12,N11,N12,walk,57.56
E13,N1,N13,stair,
E14,N13,N14,walk,195.16
E18,N14,N15,stair,
E19,N15,N6,stair,
E20,N6,N16,stair,
E21,N16,N17,walk,318.01
E22,N17,N18,walk,346
E23,N18,N19,walk,234.17
E24,N19,N11,stair,
E25,N19,N20,walk,56.22
E26,N21,N13,stair,
E27,N21,N22,walk,211.09
E28,N22,N23,stair,
E29,N23,N15,stair,
E30,N15,N24,stair,
E31,N24,N25,walk,256.02
E32,N25,N26,walk,223
E33,N26,N27,walk,158
E34,N27,N28,stair,
E35,N28,N29,stair,
E36,N29,N19,stair,
E37,N29,N30,walk,70.6
E38,N31,N32,stair,
E39,N32,N33,walk,292.01
E40,N33,N34,walk,185.04
E41,N34,N35,walk,141.09
E42,N35,N36,walk,227
E43,N36,N37,stair,
E44,N31,N23,stair,
E45,N37,N29,stair,
E46,N31,N38,stair,
E47,N38,N39,walk,129.81
E48,N39,N40,walk,240.41
E49,N40,N41,walk,252.02
E50,N41,N42,walk,246.05
E51,N42,N43,walk,240.05
E52,N43,N44,walk,374.07
E53,N44,N45,stair,
E54,N45,N37,stair,
E55,N15,N16,stair,
E56,N23,N24,stair,
