node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,1,157,362,137;138;139,
N2,corner,1,104,563,136;135;146,1
N3,corridor,1,190,566,131;132;131-1,
N4,corridor,1,282,568,134;133,
N5,corridor,1,355,445,140;141;144;143;142,
N6,stair,1,381,180,,
N7,corridor,1,473,122,108,
N8,corridor,1,666,122,107;106,
N9,corridor,1,1013,121,103;102;101,
N10,corner,1,1203,123,118,
N11,stair,1,1234,359,,
N12,corridor,1,1226,416,121;122;123;124,
N13,stair,2,167,406,232;231;230;241;240,
N14,corner,2,362,414,239;238;237;236;235;234;233,
N15,stair,2,381,196,,
N16,corridor,2,537,124,206;207;205;208,
N17,corridor,2,855,126,203;204;209;210;211;202,
N18,corner,2,1201,125,212;201;214,1
N19,stair,2,1210,359,,
N20,corner,2,1205,415,221;222;223;224;225;226;227;228;229,
N21,stair,3,162,390,332;331;330;341;340,
N22,corner,3,370,426,333;334;335;336;337;338;339,
N23,stair,3,379,170,,
N24,corridor,3,535,124,308;307;312,
N25,corridor,3,791,127,313;314;306;305,
N26,corridor,3,1014,127,315;316;317;318;319;304;303;302,
N27,corner,3,1172,127,301,
N28,stair,3,1204,220,,
N29,stair,3,1229,356,,
N30,corner,3,1210,424,321;322;323;324;325;326;322A,
N31,stair,4,35,285,,
N32,corridor,4,149,192,408;407;406;411,
N33,corridor,4,441,194,405;412;413;404,
N34,corridor,4,626,190,413-1;414;415;403,
N35,corridor,4,767,195,402;416;417;418,
N36,corridor,4,994,194,419;420;401,
N37,stair,4,1052,282,,
N38,stair,5,56,367,,
N39,corridor,5,181,332,512;524;513,
N40,corridor,5,421,346,514;511;510;515,
N41,corridor,5,673,343,509;516;508;517,
N42,corridor,5,919,338,507;518;506;519,
N43,corridor,5,1159,343,505;520;504;521,
N44,corridor,5,1533,336,503;502;522;501,
N45,stair,5,1654,350,,
