edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,stair,
E2,N2,N3,walk,128.80
E3,N3,N4,walk,114.00
E4,N4,N5,walk,88.00
E5,N5,N6,walk,89.32
E6,N6,N7,walk,92.09
E7,N7,N8,walk,111.29
E8,N8,N9,walk,78.10
E9,N9,N10,walk,70.01
E10,N10,N11,walk,128.02
E11,N11,N12,walk,128.00
E12,N5,N12,walk,60.07
E13,N10,N13,walk,139.09
E14,N13,N14,walk,235.00
E15,N12,N14,walk,138.92
E16,N14,N16,walk,157.51
E17,N16,N15,walk,202.87
E18,N16,N17,walk,311.16
E19,N17,N18,walk,120.15
E20,N14,N18,walk,280.63
E21,N18,N1,walk,94.37
E22,N18,N2,walk,129.06
E23,N19,N1,stair,
E24,N19,N33,walk,70.35
E25,N33,N20,walk,185.37
E26,N20,N22,walk,138.09
E27,N33,N21,walk,275.19
E28,N22,N23,walk,145.28
E29,N23,N5,stair,
E30,N23,N25,walk,102.24
E31,N25,N24,walk,150.42
E32,N25,N26,walk,100.00
E33,N26,N27,walk,102.00
E34,N27,N28,walk,90.25
E35,N27,N29,walk,147.00
E36,N29,N28,walk,71.59
E37,N28,N30,walk,208.96
E38,N30,N32,walk,277.18
E39,N32,N25,walk,174.18
E40,N27,N30,walk,195.82
E41,N32,N31,walk,218.34
E42,N31,N15,stair,
E43,N32,N33,walk,337.00
E44,N33,N37,walk,168.34
E45,N37,N38,walk,172.96
E46,N37,N36,walk,51.97
E47,N33,N36,walk,181.46
E48,N36,N34,walk,62.61
E49,N34,N17,stair,
E50,N33,N34,walk,210.60
E51,N33,N35,walk,291.37
E52,N20,N41,stair,
E53,N21,N43,elevator,
E54,N39,N19,stair,
E55,N23,N68,stair,
E56,N24,N49,stair,
E57,N54,N28,stair,
E58,N29,N53,elevator,
E59,N31,N60,stair,
E60,N38,N61,stair,
E61,N34,N65,stair,
E62,N35,N64,elevator,
E63,N39,N40,walk,79.40
E64,N40,N41,walk,118.02
E65,N41,N43,walk,60.75
E66,N41,N42,walk,67.90
E67,N42,N43,walk,33.53
E68,N41,N44,walk,96.19
E69,N42,N44,walk,33.62
E70,N44,N43,walk,41.79
E71,N44,N45,walk,61.03
E72,N45,N46,walk,105.02
E73,N46,N47,walk,101.02
E74,N47,N48,walk,77.00
E75,N48,N68,walk,33.62
E76,N48,N49,walk,141.01
E77,N48,N69,walk,136.24
E78,N68,N69,walk,105.12
E79,N69,N70,walk,161.00
E80,N70,N71,walk,162.00
E81,N71,N61,walk,100.02
E82,N49,N50,walk,94.00
E83,N50,N51,walk,79.00
E84,N51,N52,walk,62.01
E85,N52,N54,walk,41.23
E86,N52,N53,walk,44.94
E87,N53,N54,walk,32.25
E88,N52,N55,walk,156.12
E89,N53,N55,walk,116.10
E90,N54,N55,walk,118.42
E91,N55,N56,walk,137.00
E92,N56,N57,walk,126.02
E93,N57,N58,walk,141.13
E94,N58,N59,walk,102.49
E95,N59,N60,walk,125.00
E96,N60,N61,walk,153.95
E97,N61,N62,walk,105.30
E98,N62,N63,walk,135.01
E99,N63,N65,walk,91.18
E100,N63,N64,walk,111.45
E102,N65,N64,walk,34.71
E103,N65,N66,walk,62.17
E104,N64,N66,walk,85.16
E105,N66,N67,walk,120.00
E106,N67,N39,walk,85.99
E107,N42,N72,stair,
E108,N73,N43,elevator,
E109,N68,N113,stair,
E110,N87,N54,stair,
E111,N86,N53,elevator,
E112,N90,N58,stair,
E113,N61,N98,stair,
E114,N104,N65,stair,
E115,N105,N64,elevator,
E116,N86,N85,walk,31.06
E117,N86,N87,walk,31.58
E118,N85,N87,walk,24.41
E119,N85,N84,walk,49.01
E120,N87,N84,walk,39.82
E121,N86,N84,walk,70.58
E122,N84,N83,walk,61.03
E123,N83,N82,walk,60.03
E124,N82,N81,walk,62.29
E125,N81,N80,walk,66.37
E126,N80,N79,walk,76.03
E127,N79,N78,walk,79.03
E128,N79,N113,walk,46.84
E129,N79,N111,walk,195.13
E130,N113,N111,walk,150.12
E131,N78,N77,walk,61.00
E132,N77,N76,walk,64.01
E133,N76,N75,walk,62.01
E134,N75,N74,walk,73.06
E135,N74,N73,walk,31.14
E136,N74,N72,walk,47.54
E137,N72,N73,walk,40.22
E138,N74,N110,walk,172.00
E139,N72,N110,walk,126.48
E140,N73,N110,walk,150.62
E141,N110,N109,walk,77.10
E142,N109,N108,walk,80.06
E143,N108,N107,walk,85.01
E144,N107,N106,walk,80.02
E145,N106,N104,walk,50.80
E146,N106,N105,walk,67.72
E147,N104,N105,walk,31.76
E148,N106,N103,walk,92.02
E149,N104,N103,walk,43.42
E150,N105,N103,walk,31.91
E151,N103,N102,walk,75.00
E152,N102,N101,walk,61.03
E153,N101,N100,walk,60.07
E154,N100,N99,walk,63.13
E155,N99,N97,walk,83.10
E156,N97,N98,walk,24.04
E157,N97,N112,walk,207.24
E158,N98,N112,walk,190.13
E159,N112,N111,walk,184.00
E160,N97,N96,walk,74.06
E161,N96,N95,walk,66.03
E162,N95,N94,walk,59.01
E163,N94,N93,walk,61.03
E164,N93,N92,walk,65.01
E165,N92,N91,walk,46.17
E166,N91,N90,walk,45.89
E167,N91,N89,walk,249.00
E168,N89,N90,walk,204.20
E169,N89,N88,walk,161.03
E170,N88,N87,walk,157.32
E171,N88,N86,walk,152.45
E172,N88,N85,walk,177.05
