node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,793,362,,
N2,corner,0,717,294,B110,
N3,corner,0,659,179,B111;B112;B113;B104;B103;B105;B106,
N4,corridor,0,545,180,B114;B108;B109,
N5,stair,0,457,180,B133;B134,
N6,corner,0,424,97,B136;B132,
N7,corridor,0,332,101,B131;B130;B129,
N8,corner,0,221,93,B128;B115;B116,
N9,corridor,0,203,169,B117;B118,
N10,corner,0,204,239,B119;B120,
N11,corridor,0,332,241,B125;B126,
N12,corner,0,460,240,B127,
N13,corner,0,209,378,B122;B123,
N14,corner,0,444,378,B137,
N15,stair,0,216,499,B163;B145;B138-1,
N16,corner,0,416,533,B138;B140-1,
N17,stair,0,727,543,B140;B144;B143,
N18,corner,0,721,423,B139,
N19,stair,1,769,363,,
N20,stair,1,739,175,106,1
N21,elevator,1,780,93,,
N22,corridor,1,601,180,106;112;107,
N23,stair,1,456,189,113,
N24,stair,1,314,37,,
N25,corner,1,354,182,,
N26,corridor,1,254,183,114;108,
N27,corridor,1,152,182,115;109,
N28,stair,1,65,158,,
N29,elevator,1,35,93,,
N30,corner,1,85,366,110,
N31,stair,1,219,521,,
N32,corner,1,362,356,,
N33,corner,1,699,356,,1
N34,stair,1,732,564,,
N35,elevator,1,783,635,130,
N36,corridor,1,676,536,126;127;129;128,
N37,corner,1,631,510,121;120;119;118;117;122;125,
N38,stair,1,464,555,,
N39,stair,2,754,363,,
N40,corridor,2,762,284,,
N41,corridor,2,764,166,,
N42,stair,2,753,99,,
N43,elevator,2,785,109,,
N44,corner,2,770,70,,
N45,corridor,2,709,68,,
N46,corridor,2,604,70,,
N47,corridor,2,503,68,,
N48,corridor,2,426,68,,
N49,stair,2,285,66,,
N50,corridor,2,191,66,,
N51,corridor,2,112,66,,
N52,corner,2,50,67,,
N53,elevator,2,34,109,,
N54,stair,2,66,105,,
N55,corridor,2,56,223,,
N56,corridor,2,57,360,,
N57,corridor,2,55,486,,
N58,stair,2,61,627,,
N59,corridor,2,159,657,,
N60,stair,2,284,657,,
N61,stair,2,435,627,,
N62,corridor,2,535,660,,
N63,corridor,2,670,662,,
N64,elevator,2,781,652,,
N65,stair,2,755,629,,
N66,corridor,2,767,568,,
N67,corridor,2,767,448,,
N68,stair,2,439,99,,
N69,corridor,2,434,204,,
N70,corridor,2,433,365,,
N71,corridor,2,433,527,,
N72,stair,7,753,116,,
N73,elevator,7,786,93,,
N74,corner,7,765,70,,
N75,corridor,7,692,67,,
N76,corridor,7,630,68,,
N77,corridor,7,566,67,,
N78,corridor,7,505,67,,
N79,corner,7,426,69,,
N80,corridor,7,350,67,,
N81,corridor,7,284,74,,
N82,corridor,7,222,68,,
N83,corridor,7,162,66,,
N84,corridor,7,101,68,,
N85,corner,7,52,67,,
N86,elevator,7,35,93,,
N87,elevator,7,66,87,,
N88,corridor,7,56,244,,
N89,corridor,7,53,405,,
N90,stair,7,62,609,,
N91,corner,7,53,654,,
N92,corridor,7,99,658,,
N93,corridor,7,164,657,,
N94,corridor,7,225,659,,
N95,corridor,7,284,660,,
N96,corridor,7,350,658,,
N97,corner,7,424,655,,
N98,stair,7,441,638,,
N99,corridor,7,507,659,,
N100,corridor,7,570,655,,
N101,corridor,7,630,658,,
N102,corridor,7,691,656,,
N103,corner,7,766,656,,
N104,stair,7,755,614,,
N105,elevator,7,783,629,,
N106,corridor,7,764,564,,
N107,corridor,7,762,484,,
N108,corridor,7,763,399,,
N109,corridor,7,760,319,,
N110,corridor,7,764,242,,
N111,corridor,7,433,264,,
N112,corridor,7,434,448,,
N113,stair,7,439,114,,
