node_id,node_type,floor,x,y,assigned_rooms
N1,stair,1,295,174,
N2,stair,1,475,504,
N3,corridor,1,475,315,유리가공실
N4,corner,1,474,97,
N5,corridor,1,303,65,기계실
N6,stair,2,487,242,
N7,stair,2,617,509,
N8,corner,2,623,365,유리가공실;사무실
N9,corridor,2,246,120,실험실;암실
N10,corner,2,483,123,다용도실
N11,corridor,2,355,119,종자보관실
N12,corridor,2,565,123,준비실;신소재개발실
N13,stair,3,466,229,
N14,corner,3,464,119,
N15,corner,3,425,116,
N16,corner,3,413,43,
N17,corridor,3,259,39,광조설실;순화실;파종및육모실
N18,corridor,3,553,100,준비실;전시표본및실습실
