edge_id,from_node_id,to_node_id,edge_type,length
E1,N5,N4,walk,130.25
E3,N3,N4,walk,99.90
E4,N4,N1,walk,103.35
E5,N2,N4,walk,151.82
E6,N4,N6,walk,201.68
E7,N6,N7,walk,301.00
E8,N7,N8,walk,263.10
E9,N28,N12,walk,358.83
E10,N10,N12,walk,130.27
E11,N11,N12,walk,117.20
E12,N9,N12,walk,175.52
E13,N12,N13,walk,178.55
E14,N13,N14,walk,270.01
E15,N14,N15,walk,139.03
E16,N15,N16,walk,207.06
E17,N16,N17,walk,197.09
E18,N17,N18,walk,248.45
E19,N18,N19,walk,199.01
E20,N19,N20,walk,164.25
E21,N20,N21,walk,174.01
E22,N21,N22,walk,77.00
E23,N29,N22,walk,82.15
E24,N29,N30,walk,183.53
E25,N29,N23,walk,79.10
E26,N23,N24,walk,56.14
E27,N24,N25,walk,105.68
E28,N25,N26,walk,480.02
E29,N26,N27,walk,176.03
E30,N27,N28,walk,157.03
E31,N3,N11,stair,
E32,N1,N10,elevator,
E33,N2,N9,elevator,
E34,N8,N27,stair,
E35,N49,N34,walk,167.00
E36,N32,N34,walk,53.15
E37,N31,N34,walk,86.12
E38,N33,N34,walk,48.80
E39,N34,N35,walk,135.06
E40,N35,N36,walk,232.03
E41,N36,N37,walk,119.15
E42,N37,N38,walk,108.04
E43,N38,N39,walk,122.00
E44,N39,N40,walk,205.00
E45,N40,N41,walk,132.02
E46,N41,N42,walk,226.06
E47,N42,N43,walk,72.00
E48,N43,N44,walk,118.07
E49,N44,N45,walk,45.18
E50,N45,N46,walk,132.85
E51,N46,N47,walk,296.06
E52,N47,N48,walk,120.02
E53,N48,N49,walk,201.12
E54,N23,N44,elevator,
E55,N24,N45,stair,
E56,N27,N48,stair,
E57,N9,N31,elevator,
E58,N10,N32,elevator,
E59,N11,N33,stair,
E60,N38,N16,stair,
E61,N41,N19,stair,
E62,N69,N70,walk,172.05
E63,N70,N53,walk,146.22
E64,N50,N53,walk,84.97
E65,N51,N53,walk,123.23
E66,N52,N53,walk,86.05
E67,N53,N54,walk,168.03
E68,N54,N55,walk,319.57
E69,N55,N56,walk,242.21
E70,N56,N57,walk,228.43
E71,N57,N58,walk,103.82
E72,N58,N59,walk,249.00
E73,N59,N60,walk,107.00
E74,N60,N61,walk,406.08
E75,N61,N62,walk,157.00
E76,N62,N63,walk,49.65
E77,N63,N64,walk,91.08
E78,N64,N65,walk,178.03
E79,N65,N66,walk,92.20
E80,N66,N67,walk,224.04
E81,N67,N68,walk,167.15
E82,N68,N69,walk,189.00
E83,N48,N68,stair,
E84,N33,N52,stair,
E85,N32,N50,elevator,
E86,N31,N51,elevator,
E87,N56,N38,stair,
E88,N41,N60,stair,
E89,N44,N62,elevator,
E90,N45,N63,stair,
E91,N71,N74,walk,85.60
E92,N72,N74,walk,86.40
E93,N73,N74,walk,121.06
E94,N74,N75,walk,182.00
E95,N75,N76,walk,279.02
E96,N76,N77,walk,188.07
E97,N77,N78,walk,128.19
E98,N78,N79,walk,197.09
E99,N79,N80,walk,208.00
E100,N80,N81,walk,222.01
E101,N81,N82,walk,427.07
E102,N82,N83,walk,208.17
E103,N83,N84,walk,147.46
E104,N84,N85,walk,183.00
E105,N85,N86,walk,272.02
E106,N86,N87,walk,192.01
E107,N87,N88,walk,116.00
E108,N88,N89,walk,223.00
E109,N89,N74,walk,147.17
E110,N71,N52,stair,
E111,N72,N50,elevator,
E112,N73,N51,elevator,
E113,N68,N87,stair,
E114,N56,N78,stair,
E115,N60,N81,stair,
E116,N63,N83,stair,
E117,N93,N94,walk,173.07
E118,N94,N95,walk,141.03
E119,N95,N96,walk,171.00
E120,N96,N97,walk,194.13
E121,N97,N108,walk,82.73
E122,N109,N97,walk,114.34
E123,N97,N107,walk,85.91
E124,N97,N98,walk,187.22
E125,N98,N99,walk,287.02
E126,N99,N100,walk,280.02
E127,N100,N101,walk,228.08
E128,N101,N102,walk,190.04
E129,N102,N103,walk,76.03
E130,N103,N104,walk,179.00
E131,N104,N105,walk,213.00
E132,N105,N106,walk,197.01
E133,N106,N90,walk,193.00
E134,N90,N91,walk,148.01
E135,N91,N92,walk,175.05
E136,N92,N93,walk,279.01
E137,N71,N107,stair,
E138,N108,N72,elevator,
E139,N109,N73,elevator,
E140,N78,N100,stair,
E141,N81,N104,stair,
E142,N90,N83,stair,
E143,N94,N87,stair,
E144,N114,N113,walk,205.62
E145,N113,N110,walk,175.11
E146,N113,N111,walk,177.54
E147,N113,N112,walk,248.85
E148,N113,N115,walk,256.38
E149,N115,N116,walk,234.05
E150,N116,N117,walk,135.18
E151,N117,N118,walk,250.13
E152,N118,N119,walk,235.02
E153,N94,N118,stair,
E154,N107,N110,stair,
E155,N108,N111,elevator,
E156,N109,N112,elevator,
E157,N124,N123,walk,194.31
E158,N123,N120,walk,210.95
E159,N123,N121,walk,223.77
E160,N123,N122,walk,291.10
E161,N123,N125,walk,339.29
E162,N125,N126,walk,305.00
E163,N126,N127,walk,260.77
E164,N127,N118,stair,
E165,N112,N122,elevator,
E166,N111,N121,elevator,
E167,N110,N120,stair,
