node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,elevator,0,516,524,,
N2,elevator,0,512,578,,
N3,stair,0,392,499,,
N4,corridor,0,467,433,B03,
N5,corridor,0,341,400,B01,
N6,corridor,0,667,407,B05;B06,
N7,corridor,0,968,407,B07;B08;B05-1,
N8,stair,0,1230,431,B09,
N9,elevator,1,331,277,,
N10,elevator,1,325,232,,
N11,stair,1,246,211,,
N12,corner,1,296,105,,
N13,corner,1,118,119,,
N14,corner,1,120,389,141-2;141-1;140,
N15,corridor,1,117,528,139;138;136,
N16,stair,1,112,735,137;135,
N17,corner,1,118,932,131;129;134;127,
N18,corridor,1,366,947,125;122;123,
N19,stair,1,565,945,,1
N20,corridor,1,729,954,120;118;121;119,
N21,corridor,1,903,952,116;114;117;115,
N22,corner,1,980,952,113-1,
N23,elevator,1,981,791,,
N24,stair,1,977,735,,
N25,corridor,1,989,630,109;108;107;106;105,
N26,corner,1,985,150,,
N27,stair,1,809,153,103,
N28,corridor,1,652,150,101;102,
N29,corridor,1,985,870,,1
N30,corridor,1,1168,856,112;111,
N31,elevator,2,239,493,,
N32,elevator,2,231,461,,
N33,stair,2,185,443,,
N34,corridor,2,220,409,,
N35,corner,2,85,405,,
N36,corridor,2,89,637,251;250;249;248;247;246,
N37,corridor,2,83,756,245;244;243;242;241;240,
N38,stair,2,80,864,239;237;235,
N39,corner,2,81,986,231;229-1;229,
N40,corridor,2,286,987,226;227,
N41,stair,2,418,985,225;220;221,
N42,corridor,2,644,990,219;217,
N43,corner,2,716,990,213;211-2;211-1;211-3,
N44,elevator,2,720,872,,
N45,stair,2,699,832,,
N46,corridor,2,714,700,207;209;208;210,
N47,corner,2,708,404,205;203-3,
N48,stair,2,588,402,203-2;203;204,
N49,corridor,2,387,409,201;202;202-1,
N50,elevator,3,339,229,,
N51,elevator,3,333,272,,
N52,stair,3,247,220,,
N53,corridor,3,301,153,307;305,
N54,corner,3,133,150,301;303,
N55,corridor,3,114,469,351;352;349;350,
N56,stair,3,124,711,347;348,
N57,corner,3,110,939,343;340;341,
N58,corridor,3,213,952,339,
N59,corridor,3,462,952,338;336;337,
N60,stair,3,569,953,335;332;333,
N61,corner,3,975,945,330-2;330-1;331;327;329,
N62,elevator,3,976,788,,
N63,stair,3,968,739,,
N64,corridor,3,982,649,326;325,
N65,corridor,3,985,471,324,
N66,corridor,3,979,379,320,
N67,corner,3,975,155,323,
N68,stair,3,808,148,321;323-1;319;318,
N69,corridor,3,619,149,315;317;316;314;313,
N70,corridor,3,447,145,310-2;311;309;310-1,
N71,stair,4,252,228,,
N72,elevator,4,328,243,,
N73,elevator,4,320,280,,
N74,corridor,4,304,160,407;405;403,
N75,corner,4,122,160,401,
N76,corridor,4,119,439,473;471;470;469,
N77,corridor,4,114,627,467;468;465;463;461,
N78,stair,4,121,755,459,
N79,corner,4,115,952,457;457-1;455;456-3,
N80,corridor,4,323,953,453;451;448;449,
N81,stair,4,545,951,449-1;447;446,
N82,corner,4,972,959,444;442;445;443-1;443-2;439-2;439-1;441,
N83,stair,4,950,752,,
N84,corridor,4,986,609,432;433;434;435;436;437,
N85,corridor,4,985,426,426;427;428;429;430;431,
N86,corner,4,982,154,425,
N87,stair,4,790,152,423;421;419;418,
N88,corridor,4,674,153,417;416;415;414;413;412-2,
N89,corridor,4,451,153,411;412-1;410;409;408,
N90,stair,5,976,753,,
N91,corridor,5,978,605,532;533;534;535;536;537,
N92,corridor,5,982,430,526;527;528;529;530;531,
N93,corner,5,980,151,525,
N94,stair,5,807,146,523;521;519,
N95,corridor,5,666,149,515;517;516;518;520,
N96,corridor,5,495,149,509;510;511;512;513;514,
N97,corridor,5,301,156,508;507;505;503,
N98,corridor,5,114,147,501,
N99,corridor,5,117,434,569;570;568;565-3,
N100,stair,5,114,714,566;565-1;565,
N101,corner,5,120,942,563;561;559;557,
N102,corridor,5,310,946,555-2;555-1,
N103,corridor,5,386,944,554;554-1;552;553;553-1;551,
N104,stair,5,565,943,549;548;547-2,
N105,corridor,5,778,944,546;544;54701;545-1,
N106,corner,5,975,946,542;545-2;543;539;541,
N107,stair,5,265,234,,
N108,elevator,5,312,238,,
N109,elevator,5,324,268,,
N110,stair,6,203,408,,
N111,elevator,6,363,423,,
N112,elevator,6,357,500,,
N113,corridor,6,295,259,601-3;601-4,
N114,corridor,6,90,275,601-1;601-2,
N115,corridor,6,551,273,603;602-1;602-2,
N116,corridor,6,785,278,605;604-1;604-2,
N117,corridor,6,920,271,606;607;609,
N118,stair,6,1170,279,608;611;613;615,
N119,corridor,6,1405,282,617,
N120,stair,7,204,509,,
N121,elevator,7,367,520,,
N122,elevator,7,358,594,,
N123,corridor,7,282,313,705;707,
N124,corridor,7,88,324,701;703,
N125,corridor,7,621,327,708;710;709,
N126,corridor,7,926,327,711;712;713;714,
N127,stair,7,1186,347,715;716;717;719,
