edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,738
E2,N3,N2,walk,356.86
E3,N2,N4,walk,729.76
E16,N16,N17,walk,120.55
E17,N17,N18,walk,367.35
E18,N17,N19,walk,258.38
E19,N20,N19,walk,376
E20,N20,N18,walk,274.05
E21,N21,N17,walk,132.1
E22,N22,N18,walk,155.66
E25,N23,N27,walk,97.02
E26,N27,N25,walk,105.8
E27,N25,N24,walk,100.12
E28,N24,N26,walk,266.01
E29,N27,N28,walk,433.01
E30,N28,N29,walk,91.98
E31,N29,N30,walk,73.25
E32,N30,N31,walk,223.06
E33,N21,N25,stair,
E34,N22,N29,stair,
E35,N23,N16,elevator,
E36,N32,N33,walk,150
E37,N33,N34,walk,91.2
E38,N34,N35,walk,175.01
E39,N36,N34,walk,110
E40,N36,N37,walk,333.01
E41,N37,N38,walk,116
E42,N38,N39,walk,110.11
E43,N39,N40,walk,104.39
E44,N39,N41,walk,319.04
E45,N29,N40,stair,
E46,N33,N25,stair,
E47,N32,N23,elevator,
E48,N42,N43,walk,218.59
E49,N43,N44,walk,123.15
E50,N44,N45,walk,273.01
E51,N44,N46,walk,360
E52,N46,N47,walk,112.75
E53,N47,N48,walk,141.09
E54,N40,N48,stair,
E55,N33,N43,stair,
E56,N32,N42,elevator,
,,,,
E4,N5,N7,walk,88.55
E5,N7,N6,walk,160.11
E6,N6,N8,walk,368.01
E7,N9,N8,walk,172.01
E8,N8,N10,walk,134.24
E9,N8,N12,walk,83.1
E10,N6,N11,walk,92.01
E11,N11,N13,walk,197.09
E12,N13,N12,walk,209.57
E13,N11,N12,walk,373.05
E14,N6,N13,walk,247.59
E15,N8,N13,walk,251.46
E23,N6,N12,walk,381.81
E24,N11,N8,walk,379.58
E57,N13,N14,walk,96.13
E58,N15,N14,walk,252
E59,N14,N49,walk,214.08
E60,N14,N50,walk,197
E61,N15,N50,walk,319.08
E62,N150,N49,walk,295.69
E63,N5,N16,elevator,
E64,N11,N21,stair,
E65,N12,N22,stair,
E66,N1,N11,stair,
E67,N3,N12,stair,
