edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,275.04
E2,N2,N3,walk,200.01
E3,N3,N4,walk,67.01
E4,N4,N5,walk,127.91
E5,N5,N6,walk,202.04
E6,N6,N7,walk,199.65
E7,N7,N8,walk,255.65
E8,N10,N11,walk,166.09
E9,N11,N12,walk,155.05
E10,N12,N13,walk,145.50
E11,N13,N14,walk,294.01
E12,N14,N9,walk,223.90
E13,N10,N9,walk,164.45
E14,N9,N4,stair,
E15,N20,N16,walk,231.01
E16,N16,N17,walk,217.61
E17,N15,N17,walk,108.68
E18,N17,N18,walk,133.82
E19,N18,N19,walk,271.86
E20,N19,N20,walk,228.00
E21,N9,N15,stair,
