node_id,node_type,floor,x,y,assigned_rooms,
N1,corridor,0,197,433,B101,
N2,corridor,0,371,220,B102;B103,
N3,corridor,0,571,222,B104;B105,
N4,stair,0,612,275,,
N5,corridor,0,711,356,B106;B107,
N6,corridor,0,707,558,B108;B109,
N7,corridor,0,573,706,B110;B111,
N8,corridor,0,319,677,B112,
N9,stair,1,552,413,104,
N10,corridor,1,514,253,110,
N11,corridor,1,349,272,109,
N12,corridor,1,245,387,108,
N13,corridor,1,257,532,107,1
N14,corridor,1,532,636,102;103,1
N15,stair,2,555,484,,
N16,corridor,2,456,581,201;212;211;210,
N17,corridor,2,661,508,208;209,
N18,corridor,2,639,376,206;207,
N19,corridor,2,387,274,204;205,
N20,corridor,2,258,462,202;203,
