edge_id,from_node_id,to_node_id,edge_type,length
E1,N2,N5,walk,33.02
E2,N5,N6,walk,70.01
E3,N6,N1,walk,22.02
E4,N5,N7,walk,55.04
E5,N7,N8,walk,97.05
E6,N8,N9,walk,56.01
E7,N9,N3,walk,26.00
E8,N9,N10,walk,125.00
E9,N10,N11,walk,71.00
E10,N11,N4,walk,21.47
E11,N11,N12,walk,63.39
E12,N2,N13,stair,
E13,N3,N14,stair,
E14,N4,N15,stair,
E15,N18,N17,walk,72.06
E16,N17,N16,walk,98.05
E17,N13,N16,walk,34.23
E18,N16,N19,walk,39.00
E19,N19,N20,walk,111.00
E20,N20,N21,walk,57.08
E21,N14,N21,walk,33.14
E22,N21,N22,walk,75.03
E23,N22,N23,walk,101.12
E24,N23,N25,walk,32.25
E25,N25,N15,walk,35.01
E26,N25,N26,walk,92.01
E27,N24,N23,walk,91.01
E28,N13,N27,stair,
E29,N14,N28,stair,
E30,N15,N29,stair,
E31,N27,N31,walk,49.00
E32,N31,N32,walk,211.00
E33,N31,N33,walk,108.07
E34,N33,N34,walk,95.13
E35,N34,N35,walk,107.07
E36,N35,N28,walk,49.24
E37,N35,N36,walk,178.00
E38,N36,N37,walk,182.01
E39,N37,N29,walk,45.01
E40,N37,N38,walk,249.10
E41,N38,N30,walk,324.09
E42,N27,N39,stair,
E43,N28,N40,stair,
E44,N29,N41,stair,
E45,N39,N42,walk,61.00
E46,N44,N43,walk,139.06
E47,N43,N40,walk,74.03
E48,N43,N45,walk,142.17
E49,N41,N46,walk,42.05
E50,N39,N47,stair,
E51,N40,N48,stair,
E52,N41,N49,stair,
E53,N49,N62,walk,34.71
E54,N62,N63,walk,118.04
E55,N49,N64,walk,143.68
E56,N60,N59,walk,132.14
E57,N59,N58,walk,215.04
E58,N58,N57,walk,146.01
E59,N57,N56,walk,133.03
E60,N56,N55,walk,77.06
E61,N55,N54,walk,107.00
E62,N54,N61,walk,107.00
E63,N61,N60,walk,79.51
E64,N54,N48,walk,51.00
E65,N47,N50,walk,33.96
E66,N50,N51,walk,129.03
E67,N47,N52,walk,82.61
E68,N52,N53,walk,159.03
