node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,stair,0,185,116,,
N2,stair,0,163,220,,
N3,stair,0,372,165,,
N4,stair,0,578,209,,
N5,corner,0,164,187,B103;B109;B104;B102,
N6,corner,0,163,117,B101,
N7,corridor,0,219,189,B110;B105,
N8,corridor,0,316,192,B111;B112;B106,
N9,corner,0,372,191,B114;B107,
N10,corridor,0,497,190,B115;B116,
N11,corner,0,568,190,B108;B117;B118,
N12,corridor,0,575,127,B119;B120,
N13,stair,1,157,203,,
N14,stair,1,365,138,,1
N15,stair,1,575,199,,
N16,corner,1,161,169,106;105,
N17,corner,1,158,71,,
N18,corridor,1,86,68,101;102,
N19,corner,1,200,169,107;112,
N20,corridor,1,311,168,108;109;113,
N21,corner,1,368,171,,
N22,corridor,1,443,173,110;114,
N23,corner,1,544,168,111;115,
N24,corridor,1,545,77,120,
N25,corner,1,576,164,116,
N26,corridor,1,577,72,117;118,
N27,stair,2,255,561,,
N28,stair,2,589,474,,
N29,stair,2,924,561,,
N30,stair,2,1221,152,,
N31,corner,2,255,512,201,
N32,corridor,2,255,301,215-3,
N33,corridor,2,363,516,207;203,
N34,corridor,2,458,521,208;204,
N35,corner,2,565,517,209;210;211;205,
N36,corridor,2,743,518,206;212,
N37,corner,2,925,516,213,
N38,corridor,2,918,267,215-1,
N39,stair,3,239,356,,
N40,stair,3,551,259,,
N41,stair,3,863,361,,
N42,corridor,3,239,295,302;303,
N43,corner,3,553,333,308;309;304;305,
N44,corridor,3,414,337,307,
N45,corridor,3,695,340,306;310,
N46,corridor,3,865,319,311,
N47,stair,4,251,415,,
N48,stair,4,551,231,,
N49,stair,4,850,411,,
N50,corner,4,243,448,406;405,
N51,corridor,4,114,451,401;402;403;404,
N52,corner,4,241,333,407,
N53,corridor,4,238,174,408;409,
N54,corner,4,551,282,410;434,
N55,corridor,4,444,281,411;412,
N56,corner,4,367,284,413;415,
N57,corner,4,370,417,416;417;418;419,
N58,corridor,4,516,419,420;421;422;423;424,
N59,corner,4,731,423,425;426;427;428,
N60,corner,4,737,291,429;430;431,
N61,corridor,4,658,282,433;432,
N62,corner,4,857,445,440;439,
N63,corridor,4,975,448,438;437;436;435,
N64,corridor,4,864,268,441,
