edge_id,from_node_id,to_node_id,edge_type,length
E1,N1,N2,walk,175.01
E2,N2,N3,walk,284
E3,N2,N11,walk,204
E4,N2,N5,walk,180
E5,N5,N4,walk,43.42
E6,N5,N6,walk,148.49
E7,N6,N7,walk,165.08
E8,N7,N8,walk,193.02
E9,N8,N9,walk,63.03
E10,N9,N10,walk,139.36
E11,N10,N12,walk,76.58
E12,N12,N13,walk,248.05
E13,N13,N14,walk,122.02
E14,N13,N15,walk,202.41
E15,N16,N18,walk,56.04
E16,N17,N18,walk,84.5
E17,N18,N19,walk,125.48
E18,N19,N20,walk,101.08
E19,N19,N21,walk,125.1
E20,N21,N22,walk,274.93
E21,N22,N23,walk,87.01
E22,N23,N24,walk,390.02
E23,N24,N25,walk,140.01
E24,N28,N25,walk,193.66
E25,N18,N26,walk,127.14
E26,N26,N27,walk,185.8
E27,N27,N28,walk,122.97
E28,N28,N29,walk,222.14
E29,N29,N30,walk,152.21
E30,N29,N31,walk,195.25
E31,N31,N32,walk,164.05
E32,N14,N30,stair,
E33,N9,N17,stair,
E34,N8,N16,elevator,
E35,N25,N3,stair,
E36,N21,N4,stair,
E37,N33,N45,walk,35.13
E38,N44,N45,walk,88.41
E39,N45,N34,walk,124.68
E40,N34,N35,walk,87.46
E41,N35,N36,walk,86.09
E42,N35,N37,walk,89.27
E43,N45,N38,walk,119.6
E44,N38,N39,walk,86.35
E45,N39,N40,walk,91
E46,N39,N41,walk,96.9
E47,N41,N42,walk,143.2
E48,N42,N43,walk,155.42
E49,N21,N37,stair,
E50,N33,N16,elevator,
E51,N44,N17,stair,
E52,N43,N30,stair,
E53,N25,N41,stair,
E54,N46,N48,walk,62.43
E55,N47,N48,walk,142.14
E56,N48,N49,walk,490.7
E57,N49,N50,walk,328.3
E58,N50,N51,walk,247.02
E59,N48,N52,walk,424.76
E60,N52,N53,walk,245.29
E61,N53,N54,walk,324.35
E62,N46,N33,elevator,
E63,N47,N44,stair,
E64,N55,N57,walk,57.8
E65,N56,N57,walk,118.26
E66,N57,N58,walk,499.85
E67,N58,N59,walk,374
E68,N59,N60,walk,236.17
E69,N57,N61,walk,415.95
E70,N61,N62,walk,244.01
E71,N62,N63,walk,328.15
E72,N46,N55,elevator,
E73,N56,N47,stair,
E74,N64,N66,walk,85.28
E75,N65,N66,walk,125.4
E76,N66,N67,walk,504.23
E77,N67,N68,walk,263
E78,N68,N69,walk,261.01
E79,N66,N70,walk,436.53
E80,N70,N71,walk,320.06
E81,N71,N72,walk,190.26
E82,N55,N64,elevator,
E83,N56,N65,stair,
E84,N73,N75,walk,65.8
E85,N74,N75,walk,122.8
E86,N75,N76,walk,500.12
E87,N76,N77,walk,282.64
E88,N77,N78,walk,206.04
E89,N75,N79,walk,435.86
E90,N79,N80,walk,263.19
E91,N80,N81,walk,312
E92,N64,N73,elevator,
E93,N65,N74,stair,
