node_id,node_type,floor,x,y,assigned_rooms,start_node
N1,corridor,1,1025,1044,,1
N2,corridor,1,1027,869,103,
N3,stair,1,743,868,106;115,
N4,stair,1,1250,875,116;101,
N5,corner,1,1207,869,,
N6,corridor,1,1219,721,102-1,
N7,corner,1,1214,556,104-1,
N8,elevator,1,1021,559,,
N9,stair,1,958,561,,
N10,corner,1,819,551,104;104-2,
N11,corner,1,830,816,,
N12,corridor,1,769,609,,
N13,corridor,1,521,604,,
N14,stair,1,523,482,107,
N15,corridor,1,323,562,113;108;109;112;110;111,
N16,elevator,2,1006,375,,
N17,stair,2,1069,377,,
N18,corridor,2,1004,431,230,
N19,corner,2,1129,420,232,
N20,corridor,2,1125,319,228;220,
N21,stair,2,1254,425,201,
N22,corner,2,1294,697,218;219,
N23,corridor,2,1207,696,229;217,
N24,corridor,2,817,700,222;221;216;216-1;215;214,
N25,stair,2,719,600,,
N26,corner,2,877,437,231;230;227,
N27,corner,2,766,288,,
N28,corner,2,735,407,,
N29,corner,2,513,399,,
N30,stair,2,521,247,202,
N31,corridor,2,324,350,210;203;204,
N32,corridor,2,160,346,206;209;208;207,
N33,elevator,3,998,356,,
N34,corner,3,1119,378,312,
N35,corner,3,1194,333,,
N36,corridor,3,1190,247,305;304;302;303,
N37,stair,3,1253,400,,
N38,corner,3,876,379,306,
N39,corner,3,800,338,,
N40,corridor,3,800,247,307;308;309;310,
N41,stair,3,750,421,,
N42,corridor,3,609,396,311,
N43,stair,3,514,273,,
N44,stair,3,1056,327,,
N45,corner,3,995,391,,
N46,elevator,4,725,819,,
N47,stair,4,857,770,,
N48,corridor,4,758,872,,
N49,corridor,4,276,780,420;412,
N50,corridor,4,262,452,419;413;418;414,
N51,corridor,4,265,205,417;415;416,
N52,corridor,4,1172,777,401;402;411,
N53,corridor,4,1184,532,410;404;409;403,
N54,corridor,4,1169,208,408;407;407-1;405,
N55,elevator,5,711,817,,
N56,stair,5,840,758,,
N57,corridor,5,761,846,,
N58,corridor,5,263,803,512,
N59,corridor,5,262,429,520;513;519;514,
N60,corridor,5,253,193,518;517;516;515,
N61,corridor,5,1172,782,501;502;511,
N62,corridor,5,1170,538,503;504;510;509,
N63,corridor,5,1180,210,505;506;507;508,
N64,elevator,6,694,814,,
N65,stair,6,822,759,,
N66,corridor,6,760,868,,
N67,corridor,6,271,745,612,
N68,corridor,6,272,482,620;619;614;613,
N69,corridor,6,270,221,617;618;616;615,
N70,corridor,6,1180,749,610;602;601,
N71,corridor,6,1174,429,609;603;604,
N72,corridor,6,1184,239,605;606;607;608,
N73,elevator,7,712,819,,
N74,stair,7,834,766,,
N75,corridor,7,760,864,,
N76,corridor,7,274,746,712,
N77,corridor,7,255,464,719;720;713;714,
N78,corridor,7,259,258,717;718;716;715,
N79,corridor,7,1184,763,711;702;701,
N80,corridor,7,1174,500,710;703;704,
N81,corridor,7,1173,188,705;706;707;708,
