building,seq,node,is_pickup_node,pickup_rooms
공학실험동,1,N5,False,
공학실험동,2,N19,False,
공학실험동,3,N20,False,
공학실험동,4,N21,False,
공학실험동,5,N16,True,220
공학실험동,6,N15,False,
공학실험동,7,N14,False,
공학실험동,8,N12,False,
공학실험동,9,N13,False,
공학실험동,10,N8,False,
공학실험동,11,N7,True,120
공학실험동,12,N6,False,
공학실험동,13,N5,False,
외국어대학관,1,N18,False,
외국어대학관,2,N19,False,
외국어대학관,3,N11,False,
외국어대학관,4,N12,True,124
외국어대학관,5,N11,False,
외국어대학관,6,N19,False,
외국어대학관,7,N18,False,
외국어대학관,8,N17,False,
외국어대학관,9,N16,False,
외국어대학관,10,N15,False,
외국어대학관,11,N14,True,234
외국어대학관,12,N15,False,
외국어대학관,13,N16,False,
외국어대학관,14,N17,False,
외국어대학관,15,N18,False,
