building,algorithm,segment_no,edge_no_in_segment,from_visit_node,to_visit_node,from_rooms,to_rooms,path_nodes,from_node,to_node,edge_id,edge_type,length,edge_cost,segment_cost,segment_stair_edges,segment_consecutive_elevators,total_cost
공학실험동,Dijkstra + Exact TSP,1,1,N5,N16,,220,N5 -> N19 -> N20 -> N21 -> N16,N5,N19,E25,stair,1.0,100.0,1204.48,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,1,2,N5,N16,,220,N5 -> N19 -> N20 -> N21 -> N16,N19,N20,E20,walk,442.03,442.03,1204.48,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,1,3,N5,N16,,220,N5 -> N19 -> N20 -> N21 -> N16,N20,N21,E21,walk,352.01,352.01,1204.48,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,1,4,N5,N16,,220,N5 -> N19 -> N20 -> N21 -> N16,N21,N16,E24,walk,310.44,310.44,1204.48,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,2,1,N16,N7,220,120,N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7,N16,N15,E15,walk,430.01,430.01,1739.27,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,2,2,N16,N7,220,120,N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7,N15,N14,E23,walk,316.14,316.14,1739.27,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,2,3,N16,N7,220,120,N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7,N14,N12,E26,stair,1.0,100.0,1739.27,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,2,4,N16,N7,220,120,N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7,N12,N13,E12,walk,378.08,378.08,1739.27,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,2,5,N16,N7,220,120,N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7,N13,N8,E13,walk,289.0,289.0,1739.27,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,2,6,N16,N7,220,120,N16 -> N15 -> N14 -> N12 -> N13 -> N8 -> N7,N8,N7,E7,walk,226.04,226.04,1739.27,1,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,3,1,N7,N5,120,,N7 -> N6 -> N5,N7,N6,E6,walk,446.09,446.09,776.28,0,0,3720.0299999999997
공학실험동,Dijkstra + Exact TSP,3,2,N7,N5,120,,N7 -> N6 -> N5,N6,N5,E5,walk,330.19,330.19,776.28,0,0,3720.0299999999997
외국어대학관,Dijkstra + Exact TSP,1,1,N18,N12,,124,N18 -> N19 -> N11 -> N12,N18,N19,E23,walk,234.17,234.17,391.72999999999996,1,0,2511.48
외국어대학관,Dijkstra + Exact TSP,1,2,N18,N12,,124,N18 -> N19 -> N11 -> N12,N19,N11,E24,stair,1.0,100.0,391.72999999999996,1,0,2511.48
외국어대학관,Dijkstra + Exact TSP,1,3,N18,N12,,124,N18 -> N19 -> N11 -> N12,N11,N12,E12,walk,57.56,57.56,391.72999999999996,1,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,1,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N12,N11,E12,walk,57.56,57.56,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,2,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N11,N19,E24,stair,1.0,100.0,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,3,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N19,N18,E23,walk,234.17,234.17,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,4,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N18,N17,E22,walk,346.0,346.0,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,5,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N17,N16,E21,walk,318.01,318.01,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,6,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N16,N15,E55,stair,1.0,100.0,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,2,7,N12,N14,124,234,N12 -> N11 -> N19 -> N18 -> N17 -> N16 -> N15 -> N14,N15,N14,E18,stair,1.0,100.0,1255.74,3,0,2511.48
외국어대학관,Dijkstra + Exact TSP,3,1,N14,N18,234,,N14 -> N15 -> N16 -> N17 -> N18,N14,N15,E18,stair,1.0,100.0,864.01,2,0,2511.48
외국어대학관,Dijkstra + Exact TSP,3,2,N14,N18,234,,N14 -> N15 -> N16 -> N17 -> N18,N15,N16,E55,stair,1.0,100.0,864.01,2,0,2511.48
외국어대학관,Dijkstra + Exact TSP,3,3,N14,N18,234,,N14 -> N15 -> N16 -> N17 -> N18,N16,N17,E21,walk,318.01,318.01,864.01,2,0,2511.48
외국어대학관,Dijkstra + Exact TSP,3,4,N14,N18,234,,N14 -> N15 -> N16 -> N17 -> N18,N17,N18,E22,walk,346.0,346.0,864.01,2,0,2511.48
